smiles,Tc,Pc,rhoc,omega,Tb,Tm,dHvap,dHfus
C=CC#C,454.5,49.27,4.914,0.101,277.5,227.6,24.476,
CC(C)CCC(C)C,549.5,24.89,2.069,0.358,382.27,182.0,,12.954
CC(=O)OC=C,520.32,41.6,3.732,0.344,345.82,175.43,,
CCC(C)C(=O)C,572.45,33.2,2.695,0.386,390.6,167.15,,
CC1=C2C(=CC=CC2=CC=C1)C,792.0,31.0,1.934,0.395,543.15,336.43,,15.78
CC(C)CC(C)(C)C,543.89,25.68,2.131,0.302,372.39,165.77,,
C(=C(F)Cl)(F)F,379.15,40.53,4.716,0.243,244.8,115.0,26.113000000000003,5.556
CCC1CCCCC1,608.55,31.17,2.324,0.246,404.98,161.84,34.294000000000004,8.338
CCCl,460.35,52.91,5.307,0.195,285.47,136.1,24.698,4.452
CCC(=O)CC,561.11,37.29,3.006,0.343,375.12,233.49,33.875,11.593
C(=O)(C(Cl)(Cl)Cl)O,688.05,48.1,3.238,0.5489999999999999,470.1,331.09,49.458,5.8820000000000014
C1CC2=CC=CC=C2C1,684.87,39.5,2.597,0.309,451.08,221.66,,8.597999999999999
CC(=O)OC,506.63,47.62,4.381,0.329,330.03,175.09,30.315,7.971
CCCC#N,582.91,37.96,3.621,0.371,390.88,161.05,34.474000000000004,5.023
CCC(CC)(CC)CC,610.05,26.75,2.114,0.338,419.34,240.12,,10.09
C=CCC=C,478.5,37.64,3.463,0.094,299.12,124.87,24.817,6.109
C[C@@H]1CCC[C@@H](C1)C,589.95,29.09,2.276,0.237,394.69,194.86,,10.82
CCC(C)C(C)C,537.37,29.09,2.537,0.294,362.97,144.6,,
C1CCC(=O)CC1,629.76,41.24,3.082,0.353,428.8,242.0,39.74800000000001,
CCCCCCCCCCCCCCCCCC,747.64,12.66,0.8909999999999999,0.802,588.19,301.31,55.169,61.716
CC(=O)NC,718.0,50.0,3.745,0.4370000000000001,478.17,302.24,,
CC(C)CC(=O)O,629.84,34.96,3.013,0.682,449.21,243.0,,7.322
CC1=CC(=CC=C1)[N+](=O)[O-],734.05,38.0,2.268,0.495,504.68,289.0,47.053,14.057
CCC#CC,519.0,40.2,3.623,0.174,329.27,164.83,,
C=CCO,543.25,57.37,4.716,0.63,370.19,144.07,39.957,
CC(C)(C)Cl,502.4,38.25,3.319,0.19,323.9,247.77,27.405,2.04
C1=CC=C(C(=C1)Cl)Cl,729.0,41.03,2.778,0.272,453.1,256.13,39.664,13.134
CCCCCCCCCO,670.65,25.34,1.781,0.6,486.57,268.15,,
CCl,416.26,67.19,7.1389999999999985,0.153,249.04,176.3,21.518,6.49
CCCCCCCC=O,638.75,29.73,2.063,0.469,445.77,246.86,,
C(C(F)(F)Cl)(F)(F)Cl,418.83,32.91,3.398,0.252,276.76,180.62,23.194000000000006,1.504
C(C(Cl)Cl)(Cl)Cl,644.77,40.9,3.08,0.253,418.25,229.52,37.85,9.165
CC1=CC=CC2=CC=CC=C12,771.75,36.53,2.12,0.342,517.72,242.67,46.542,6.939
CC1=CC=CC=C1C,630.29,37.35,2.697,0.311,417.59,247.99,36.862,13.599
C1CC1,398.07,55.37,6.135,0.13,240.89,145.64,19.981,5.442
CCCCCCCCSCC,700.0,24.0,1.69,0.5379999999999999,505.54,,,
C=C,282.34,50.38,7.612999999999999,0.086,169.47,104.0,13.54,3.349
CC1=CCCC1,542.0,41.3,3.3,0.232,348.95,,,
N(F)(F)F,234.0,44.95,8.421,0.128,144.17,66.0,,0.398
CC1=CC=C(C=C1)C,616.21,35.17,2.649,0.322,411.5,286.4,36.029,17.114
C[C@@H]1CCCC[C@H]1C,596.15,29.38,2.174,0.238,396.58,184.99,,10.49
C=O,408.02,65.88,8.693999999999999,0.272,253.97,172.72,23.056,7.051
C(F)(F)(F)Cl,301.99,38.75,5.558,0.181,192.09,92.12,15.588,3.499
CC(C)COC(=O)C,561.89,30.59,2.515,0.457,389.85,,35.84900000000001,
CCCCCOC=O,575.93,33.61,2.319,0.528,404.07,199.65,,
CCCCOC(=O)C,576.5,31.19,2.517,0.422,399.25,198.57,35.982,
CC1=C(C(=CC=C1)C)C,664.53,34.52,2.388,0.3670000000000001,449.24,247.79,40.312,8.185
CCC=C=C,500.05,38.0,3.626,0.154,318.19,135.88,27.153,7.561
C1(C(C(C1(F)F)(F)F)(F)F)(F)F,388.4,27.8,3.122,0.35600000000000004,263.49,232.98,,
C(C(F)(F)F)(F)(F)F,292.86,30.14,4.434,0.249,195.0,172.14,,2.6860000000000004
