Feature_Name,Feature_Type,Importance,Original_Index
Morgan_Bit_1143,Morgan,0.22085718260375348,1143
fr_unbrch_alkane,Descriptor,0.0983623419362861,2206
Morgan_Bit_1992,Morgan,0.08470728426460705,1992
Morgan_Bit_1444,Morgan,0.06715040115183729,1444
fr_Al_COO,Descriptor,0.04943504120201533,2134
FractionCSP3,Descriptor,0.022355723172535813,2125
Morgan_Bit_1911,Morgan,0.021666774993270688,1911
Morgan_Bit_807,Morgan,0.021191266422804392,807
Morgan_Bit_1380,Morgan,0.018038192072353586,1380
PEOE_VSA8,Descriptor,0.015931643164135565,2083
SMR_VSA6,Descriptor,0.014635266037227833,2091
Morgan_Bit_1005,Morgan,0.014340571904739372,1005
FpDensityMorgan3,Descriptor,0.013575645127017835,2058
Morgan_Bit_1873,Morgan,0.013135142073637788,1873
SMR_VSA5,Descriptor,0.011746755438336334,2090
FpDensityMorgan2,Descriptor,0.009594505827814015,2057
Kappa3,Descriptor,0.009191753911363175,2070
EState_VSA5,Descriptor,0.00857779282622798,2111
EState_VSA3,Descriptor,0.008451410571215453,2109
Morgan_Bit_691,Morgan,0.008379329689336704,691
MinAbsEStateIndex,Descriptor,0.008363857978016326,2050
SMR_VSA7,Descriptor,0.008107761701638955,2092
Morgan_Bit_591,Morgan,0.007514828956353751,591
Morgan_Bit_695,Morgan,0.007433838026339789,695
MinEStateIndex,Descriptor,0.007298856719968249,2049
MaxEStateIndex,Descriptor,0.007084101274783194,2048
VSA_EState7,Descriptor,0.006779339254548801,2122
Morgan_Bit_392,Morgan,0.006200353822468904,392
HallKierAlpha,Descriptor,0.006146908441674474,2068
Morgan_Bit_794,Morgan,0.005801364249402011,794
BCUT2D_MRHI,Descriptor,0.005783751782757105,2064
Morgan_Bit_294,Morgan,0.005685359263761413,294
qed,Descriptor,0.005518051369953075,2051
VSA_EState3,Descriptor,0.005247621102817586,2118
EState_VSA8,Descriptor,0.005129996626192415,2114
VSA_EState6,Descriptor,0.004926535953924716,2121
FpDensityMorgan1,Descriptor,0.004565088808961331,2056
Morgan_Bit_118,Morgan,0.0043108699189054345,118
Morgan_Bit_674,Morgan,0.004121036933957018,674
SMR_VSA9,Descriptor,0.0040128264218664495,2094
Morgan_Bit_80,Morgan,0.003960952496193388,80
PEOE_VSA9,Descriptor,0.0038570211850072356,2084
EState_VSA9,Descriptor,0.00371563033623507,2115
VSA_EState1,Descriptor,0.003627387649422107,2116
VSA_EState8,Descriptor,0.0035926140613935626,2123
MinPartialCharge,Descriptor,0.003535649240048769,2055
Morgan_Bit_316,Morgan,0.0034530993784061188,316
Morgan_Bit_389,Morgan,0.0033146363112806355,389
MolWt,Descriptor,0.0031683314316932063,2052
BCUT2D_MWLOW,Descriptor,0.0030871916427473944,2059
EState_VSA1,Descriptor,0.0030368794027748687,2105
Morgan_Bit_1238,Morgan,0.0030151879784164892,1238
PEOE_VSA7,Descriptor,0.002998589750556731,2082
VSA_EState5,Descriptor,0.002923463732107545,2120
PEOE_VSA1,Descriptor,0.0028421730847149915,2071
PEOE_VSA6,Descriptor,0.0027670758118131878,2081
BCUT2D_MRLOW,Descriptor,0.0027204096742372546,2065
Morgan_Bit_890,Morgan,0.0026191235847554594,890
Morgan_Bit_1256,Morgan,0.0025150233039467505,1256
SlogP_VSA3,Descriptor,0.002458611513459864,2100
BalabanJ,Descriptor,0.0023728828358389156,2066
EState_VSA4,Descriptor,0.0023504893189280176,2110
EState_VSA6,Descriptor,0.002245942622830901,2112
SlogP_VSA2,Descriptor,0.0022304695397048335,2099
MaxPartialCharge,Descriptor,0.0022227786892264297,2054
BCUT2D_LOGPHI,Descriptor,0.002213337662398361,2062
Morgan_Bit_926,Morgan,0.002155241116911921,926
BCUT2D_LOGPLOW,Descriptor,0.002113096206224883,2063
SMR_VSA1,Descriptor,0.001982462315074886,2085
EState_VSA10,Descriptor,0.0019288155651244283,2106
Morgan_Bit_13,Morgan,0.0019198950833793145,13
fr_aldehyde,Descriptor,0.0019123166865904835,2153
SlogP_VSA4,Descriptor,0.0018914964109283602,2101
Morgan_Bit_114,Morgan,0.0018198591598680156,114
BCUT2D_CHGHI,Descriptor,0.0017218083199388385,2060
Ipc,Descriptor,0.001716401999691723,2069
PEOE_VSA14,Descriptor,0.0016439126615333318,2076
BertzCT,Descriptor,0.0015425695926414074,2067
SMR_VSA4,Descriptor,0.0015391428975292457,2089
BCUT2D_CHGLO,Descriptor,0.0014161824836483657,2061
fr_Al_OH,Descriptor,0.0012925884150524066,2135
Morgan_Bit_694,Morgan,0.0012265425464769585,694
Morgan_Bit_1057,Morgan,0.0011680566441793316,1057
Morgan_Bit_739,Morgan,0.0011551278375790122,739
