Source,Biodiesel,C8:0,C10:0,C12:0,C14:0,C16:0,C16:1,C17:0,C18:0,C18:1,C18:2,C18:3,C20:0,C20:1,C22:0,C22:1,C24:0,C24:1,CN,Total %
Gopinath (2009),Cannabis sativa Linn,0,0,0,0,0,0,0,0,15.78947368,68.42105263,15.78947368,0,0,0,0,0,0,36.4,100
Gopinath (2009),Joannesia princeps Vell,0,0,0,2.4,5.4,0,0,0,45.8,46.4,0,0,0,0,0,0,0,45.2,100
Gopinath (2009),Urtica dioica Linn,0,0,0,0,9,0,0,0,14.6,73.7,2.7,0,0,0,0,0,0,38.7,100
Gopinath (2009),Corylus avellana,0,0,0,3.206412826,3.106212425,0,0,2.605210421,88.17635271,2.905811623,0,0,0,0,0,0,0,54.5,100
Gopinath (2009),Melia azadirach Linn,0,0,0,0.102145046,8.273748723,0,0,1.225740552,21.24616956,69.15219612,0,0,0,0,0,0,0,41.4,100
Gopinath (2009),Illicium verum Hook,0,0,0,4.404404404,0,0,0,7.907907908,63.26326326,24.42442442,0,0,0,0,0,0,0,50.7,100
Gopinath (2009),Aleurites moluccana,0,0,0,0,5.516549649,0,0,6.720160481,10.53159478,48.64593781,28.58575727,0,0,0,0,0,0,34.2,100
Gopinath (2009),Broussonetia papyrifera Vent,0,0,0,0,4.127966976,0,0,6.295149639,15.27347781,73.27141383,1.031991744,0,0,0,0,0,0,41.3,100
Gopinath (2009),Croton tiglium Linn,0,0,0,11.25895599,1.228249744,0,0,0.511770727,57.31832139,29.68270215,0,0,0,0,0,0,0,49.9,100
Gopinath (2009),Moringa concanensis Nimmo,0,0,0,0,10.03102378,0,0,2.481902792,86.65977249,0.827300931,0,0,0,0,0,0,0,56.3,100
Gopinath (2009),Argemone mexicana,0,0,0,0.808080808,14.64646465,0,0,3.838383838,18.68686869,62.02020202,0,0,0,0,0,0,0,44.5,100
Gopinath (2009),Calophyllum apetalum Wild,0,0,0,0,8,0,0,14,48,30,0,0,0,0,0,0,0,51.6,100
Gopinath (2009),Terminalia chebula Retz,0,0,0,0,19.85887097,0,0,2.419354839,37.60080645,40.12096774,0,0,0,0,0,0,0,49.6,100
Gopinath (2009),Pterygota alata Rbr,0,0,0,0,14.58752515,0,0,8.551307847,44.26559356,32.59557344,0,0,0,0,0,0,0,51.1,100
Gopinath (2009),Princepia utilis Royle,0,0,0,1.842374616,15.55783009,0,0,4.60593654,33.36745138,44.62640737,0,0,0,0,0,0,0,48.9,100
Gopinath (2009),Vallaris solanacea Kuntze,0,0,0,0,7.39979445,0,0,14.7995889,36.27954779,41.52106886,0,0,0,0,0,0,0,50.3,100
Gopinath (2009),Mappia foetida Milers,0,0,0,0,7.1,0,0,17.7,38.4,0,36.8,0,0,0,0,0,0,50.7,100
Gopinath (2009),Mesua ferrea Linn,0,0,0,0.908173562,10.89808274,0,0,12.51261352,60.54490414,15.13622603,0,0,0,0,0,0,0,55.1,100
Gopinath (2009),Rhus succedanea Linn,0,0,0,0,25.4,0,0,0,46.8,27.8,0,0,0,0,0,0,0,52.2,100
Gopinath (2009),Aegle marmelos correa Roxb,0,0,0,0,16.6,0,0,8.8,30.5,36,8.1,0,0,0,0,0,0,48.3,100
Gopinath (2009),Putranjiva roxburghii,0,0,0,0,8.24742268,0,0,15.46391753,57.73195876,18.55670103,0,0,0,0,0,0,0,55,100
Gopinath (2009),Thevetia peruviana Merrill,0,0,0,0,15.6626506,0,0,10.54216867,61.14457831,5.220883534,7.429718876,0,0,0,0,0,0,57.5,100
Gopinath (2009),Jatropa curcas Linn,0,0,0,1.40562249,15.6626506,0,0,9.738955823,40.96385542,32.22891566,0,0,0,0,0,0,0,52.3,100
Gopinath (2009),Meyna laxiflora Robyns,0,0,0,0,18.8,0,0,9,32.5,39.7,0,0,0,0,0,0,0,50.4,100
Gopinath (2009),Swietenia mahagoni Jacq,0,0,0,0,9.5,0,0,18.4,56,0,16.1,0,0,0,0,0,0,52.3,100
Gopinath (2009),Balanites roxburghii Planch,0,0,0,0,17.76384535,0,0,8.150470219,33.85579937,32.70637409,7.523510972,0,0,0,0,0,0,50.5,100
Gopinath (2009),Annona reticulata Linn,0,0,0,1.043841336,17.95407098,0,0,7.828810021,50.52192067,22.65135699,0,0,0,0,0,0,0,53.5,100
Gopinath (2009),Azadirachta indica,0,0,0,0,15.09625127,0,0,14.58966565,62.71529889,7.598784195,0,0,0,0,0,0,0,57.8,100
Gopinath (2009),Mimusops hexendra Roxb,0,0,0,0,19.19191919,0,0,14.14141414,63.63636364,3.03030303,0,0,0,0,0,0,0,59.3,100
Gopinath (2009),Celastrus paniculatus Linn,0,0,0,0,26.06438214,0,0,6.957424714,47.87123572,15.99169263,3.115264798,0,0,0,0,0,0,51.9,100
Gopinath (2009),Madhuca indica JF Gmel,0,0,0,1.030927835,18.35051546,0,0,14.43298969,47.73195876,18.45360825,0,0,0,0,0,0,0,56.6,100
Gopinath (2009),Aphanamixis polystachya Park,0,0,0,0,23.1,0,0,12.8,21.5,29,13.6,0,0,0,0,0,0,48.5,100
Gopinath (2009),Canarium commune Linn,0,0,0,0,29,0,0,9.7,38.3,21.8,1.2,0,0,0,0,0,0,55.6,100
Gopinath (2009),Holoptelia integrifolia,0,0,0,3.630705394,36.41078838,0,0,4.668049793,55.29045643,0,0,0,0,0,0,0,0,61.2,100
Gopinath (2009),Garcinia echinocarpa Thw,0,0,0,0,3.7,0,0,43.7,52.6,0,0,0,0,0,0,0,0,63.1,100
Gopinath (2009),Garcinia morella Desr,0,0,0,0,0.717948718,0,0,47.58974359,50.76923077,0.923076923,0,0,0,0,0,0,0,63.5,100
Gopinath (2009),Anamirta cocculus Wight & Hrn,0,0,0,0,6.1,0,0,47.5,46.4,0,0,0,0,0,0,0,0,64.3,100
Gopinath (2009),Myristica malabarica Lam,0,0,0,39.2,13.3,0,0,2.4,44.1,1,0,0,0,0,0,0,0,61.8,100
Gopinath (2009),Garcinia indica Choisy,0,0,0,0,2.5,0,0,56.4,39.4,1.7,0,0,0,0,0,0,0,65.2,100
Gopinath (2009),Madhuca butyracea Mac,0,0,0,0,66,0,0,3.5,27.5,3,0,0,0,0,0,0,0,65.3,100
Gopinath (2009),Neolitsea umbrosa Gamble,0,0,60.12207528,11.69888098,0,0,0,0,21.36317396,6.815869786,0,0,0,0,0,0,0,60.8,100
Gopinath (2009),Salvadora oleoides Decne,0,0,35.88709677,51.10887097,4.536290323,0,0,0,8.366935484,0.100806452,0,0,0,0,0,0,0,66.1,100
Gopinath (2009),Neolitsea cassia Linn,0,0,88.55670103,3.917525773,0,0,0,0,4.12371134,0,3.402061856,0,0,0,0,0,0,64.1,100
Gopinath (2009),Actinodaphne angustifolia,0,0,91.84952978,1.985370951,0.52246604,0,0,0,5.642633229,0,0,0,0,0,0,0,0,63.2,100
Gopinath (2009),Litsea glutinosa Robins,0,0,97.6673428,0,0,0,0,0,2.332657201,0,0,0,0,0,0,0,0,64.8,100
Gopinath (2009),Soybean,0,0,0.100806452,0.100806452,10.28225806,0,0,3.72983871,22.98387097,54.13306452,8.669354839,0,0,0,0,0,0,48,100
Gopinath (2009),Cottonseed,0,0,0.101214575,1.012145749,20.34412955,0,0,2.631578947,19.43319838,55.87044534,0.607287449,0,0,0,0,0,0,52.1,100
Gopinath (2009),Jatropha:coconut 50:50,0,0,21.63561077,10.76604555,14.18219462,0,0,7.453416149,27.01863354,18.84057971,0.103519669,0,0,0,0,0,0,58,100
Piloto-Rodriguez (2013),Holoptelia integrifolia,0,0,0,3.560528993,35.70701933,1.932858596,0,4.577822991,54.22177009,0,0,0,0,0,0,0,0,61.2,100
Piloto-Rodriguez (2013),Euphorbia helioscopia L,0,0,2.802802803,5.505505506,9.90990991,0,0,1.101101101,15.81581582,22.12212212,42.74274274,0,0,0,0,0,0,34.2,100
Piloto-Rodriguez (2013),Actinodaphne angust.,0,0,91.84952978,1.985370951,0.52246604,0,0,5.642633229,0,0,0,0,0,0,0,0,0,63.2,100
Piloto-Rodriguez (2013),Neolitsea cassia Linn,0,0,88.55670103,3.917525773,0,0,0,0,4.12371134,3.402061856,0,0,0,0,0,0,0,64,100
Piloto-Rodriguez (2013),Salvadora persica Linn,0,0,19.77800202,54.99495459,19.77800202,0,0,0,5.449041372,0,0,0,0,0,0,0,0,67.5,100
Piloto-Rodriguez (2013),Basella rubra Linn,0,0,0,0.4,19.7,0.4,0,6.5,50.3,21.6,1.1,0,0,0,0,0,0,54,100
Piloto-Rodriguez (2013),Garcinia combogia D.,0,0,0,0,2.3,0,0,38.3,57.9,0.8,0.4,0,0.3,0,0,0,0,61.5,100
Piloto-Rodriguez (2013),Melia azadirach Linn,0,0,0,0.100603622,8.14889336,1.509054326,0,1.207243461,20.92555332,68.10865191,0,0,0,0,0,0,0,41.4,100
Piloto-Rodriguez (2013),Tectona grandis Linn,0,0,0,0.204708291,11.25895599,0,0,10.44012282,30.19447288,47.49232344,0.409416581,0,0,0,0,0,0,48.3,100
Piloto-Rodriguez (2013),Canola,0,0,0,0.103519669,5.383022774,0.207039337,0,2.587991718,60.14492754,29.08902692,0.414078675,0,1.6563147,0,0.414078675,0,0,55,100
Piloto-Rodriguez (2013),Lard,0,0,0.103626943,1.968911917,25.38860104,2.901554404,0,14.92227979,39.68911917,13.88601036,0.310880829,0,0.725388601,0,0.103626943,0,0,63.6,100
