fuel1_inchi,fuel2_inchi,fuel3_inchi,frac_fuel1 (molar),frac_fuel2 (molar),DCN,Name,num_components
CCCCCCC,CC(C)CC(C)(C)C,,0.5297,,40.1,52.97%n-heptane-47.03%iso-octane,2
CCCCCCC,CC(C)CC(C)(C)C,,0.4288,,36.1,42.88%n-heptane-57.11%iso-octane,2
CCCCCCC,CC(C)CC(C)(C)C,,0.3255,,31.6,32.55%n-heptane-67.45%iso-octane,2
CCCCCCC,CC(C)CC(C)(C)C,,0.2197,,27.7,21.97%n-heptane-78.03%iso-octane,2
CCCCCCC,CC(C)CC(C)(C)C,,0.1112,,23.3,11.12%n-heptane-88.88%iso-octane,2
CCCCCCC,CC1=CC=CC=C1,,0.5209,,36.7,52.09%n-heptane-47.91%toluene,2
CCCCCCC,CC1=CC=CC=C1,,0.4697,,34.1,46.97%n-heptane-53.03%toluene,2
CCCCCCC,CC1=CC=CC=C1,,0.4202,,31.0,42.02%n-heptane-57.98%toluene,2
CCCCCCC,CC1=CC=CC=C1,,0.3722,,28.3,37.22%n-heptane-62.78%toluene,2
CCCCCCC,CC1=CC=CC=C1,,0.3258,,25.8,32.58%n-heptane-67.42%toluene,2
CCCCCCC,CC1=CC=CC=C1,,0.2807,,22.9,28.07%n-heptane-71.93%toluene,2
CCCCCCC,CC1=CC=CC=C1,,0.237,,19.8,23.70%n-heptane-76.30%toluene,2
CCCCCCC,CC(C)CC(C)(C)C,CC1=CC=CC=C1,0.3683,0.4905,32.2,36.83%n-heptane-49.05%iso-octane-14.12%toluene,3
CCCCCCC,CC(C)CC(C)(C)C,CC1=CC=CC=C1,0.3131,0.417,29.1,31.31%n-heptane-41.70%iso-octane-27.00%toluene,3
CCCCCCC,CC(C)CC(C)(C)C,CC1=CC=CC=C1,0.2625,0.3496,26.2,26.25%n-heptane-34.96%iso-octane-38.80%toluene,3
CCCCCCC,CC(C)CC(C)(C)C,CC1=CC=CC=C1,0.2159,0.2876,22.7,21.59%n-heptane-28.76%iso-octane-49.65%toluene,3
CCCCCCC,CC(C)CC(C)(C)C,CC1=CC=CC=C1,0.2791,0.5783,28.9,27.91%n-heptane-57.83%iso-octane-14.26%toluene,3
CCCCCCC,CC(C)CC(C)(C)C,CC1=CC=CC=C1,0.2369,0.4908,26.3,23.69%n-heptane-49.08%iso-octane-27.24%toluene,3
CCCCCCC,CC(C)CC(C)(C)C,CC1=CC=CC=C1,0.1983,0.4108,23.7,19.83%n-heptane-41.08%iso-octane-39.09%toluene,3
CCCCCCC,CC(C)CC(C)(C)C,CC1=CC=CC=C1,0.1629,0.3375,19.9,16.29%n-heptane-33.75%iso-octane-49.95%toluene,3
CCCCCCC,CC(C)CC(C)(C)C,CC1=CC=CC=C1,0.188,0.6678,25.4,18.80%n-heptane-66.78%iso-octane-14.41%toluene,3
CCCCCCC,CC(C)CC(C)(C)C,CC1=CC=CC=C1,0.1593,0.5659,22.8,15.93%n-heptane-56.59%iso-octane-27.48%toluene,3
CCCCCCC,CC(C)CC(C)(C)C,CC1=CC=CC=C1,0.1332,0.473,19.8,13.32%n-heptane-47.30%iso-octane-39.38%toluene,3
CCCCCCC,CC(C)CC(C)(C)C,CC1=CC=CC=C1,0.1093,0.3881,16.5,10.93%n-heptane-38.81%iso-octane-50.26%toluene,3
CCCCCCC,CC(C)CC(C)(C)C,CC1=CC=CC=C1,0.095,0.7593,21.1,9.50%n-heptane-75.93%iso-octane-14.57%toluene,3
CCCCCCC,CC(C)CC(C)(C)C,CC1=CC=CC=C1,0.0804,0.6423,18.3,8.04%n-heptane-64.23%iso-octane-27.73%toluene,3
CCCCCCC,CC(C)CC(C)(C)C,CC1=CC=CC=C1,0.0671,0.5362,15.6,6.71%n-heptane-53.62%iso-octane-39.67%toluene,3
CC(C)CC(C)(C)C,CCCCC=C,,0.8721,,21.02,87.21%iso-octane-12.79%1-hexene,2
CC(C)CC(C)(C)C,CCCCC=C,,0.7519,,21.17,75.19%iso-octane-24.81%1-hexene,2
CC(C)CC(C)(C)C,CCCCC=C,,0.6387,,22.9,63.87%iso-octane-36.13%1-hexene,2
CC(C)CC(C)(C)C,CCCCC=C,,0.5319,,24.02,53.19%iso-octane-46.81%1-hexene,2
CC(C)CC(C)(C)C,CCCCC=C,,0.431,,24.51,43.10%iso-octane-56.90%1-hexene,2
CC(C)CC(C)(C)C,CCCCC=C,,0.3356,,25.34,33.56%iso-octane-66.44%1-hexene,2
CC(C)CC(C)(C)C,CCCCC=C,,0.2451,,26.5,24.51%iso-octane-75.49%1-hexene,2
CC(C)CC(C)(C)C,CCCCC=C,,0.1592,,27.2,15.92%iso-octane-84.08%1-hexene,2
CC(C)CC(C)(C)C,CCCCC=C,,0.0776,,28.2,7.76%iso-octane-92.24%1-hexene,2
CC(C)CC(C)(C)C,C1CCCCC1,,0.8549,,18.12,85.49%iso-octane-14.51%cyclohexane,2
CC(C)CC(C)(C)C,C1CCCCC1,,0.7237,,18.2,72.37%iso-octane-27.63%cyclohexane,2
CC(C)CC(C)(C)C,C1CCCCC1,,0.6044,,18.28,60.44%iso-octane-39.56%cyclohexane,2
CC(C)CC(C)(C)C,C1CCCCC1,,0.4955,,18.34,49.55%iso-octane-50.45%cyclohexane,2
CC(C)CC(C)(C)C,C1CCCCC1,,0.3957,,18.43,39.57%iso-octane-60.43%cyclohexane,2
