Name,mixture_components,fuel_type,ignition_delay_CAD,fuel_1,fraction_fuel_1,fuel_2,fraction_fuel_2,fuel_3,fraction_fuel_3,fuel_4,fraction_fuel_4,fuel_5,fraction_fuel_5,fuel_6,fraction_fuel_6,fuel_7,fraction_fuel_7,fuel_8,fraction_fuel_8,fuel_9,fraction_fuel_9,fuel_10,fraction_fuel_10,fuel_11,fraction_fuel_11,CN_Measured,CN_Regression,YSI_Unified_Measured,YSI_Unified_Regression,fuel_type_smiles,fuel_1_smiles,fuel_2_smiles,fuel_3_smiles,fuel_4_smiles,fuel_5_smiles,fuel_6_smiles,fuel_7_smiles,fuel_8_smiles,fuel_9_smiles,fuel_10_smiles,fuel_11_smiles
RFD,"toluene : 30, n-heptane : 70",Diesel,4.6,toluene,0.3,n-heptane,0.7,,,,,,,,,,,,,,,,,,,,,,,,CC1=CC=CC=C1,CCCCCCC,,,,,,,,,
Date pit methyl ester,"C8:0: 1.5, C10:0: 1.5, C12:0: 20.1, C14:0 : 10.4, C16:0 :13.6, C18:0 : 2.8, C18:1 : 32.7, C18:2 : 7.5, C18:3 : 1.3",B100 Biodiesel,4,C8:0,0.015,C10:0,0.015,C12:0,0.201,C14:0,0.104,C16:0,0.136,C18:0,0.028,C18:1,0.327,C18:2,0.075,C18:3,0.013,,,,,,,,,,CCCCCCCC(=O)O,CCCCCCCCCC(=O)O,CCCCCCCCCCCC(=O)O,CCCCCCCCCCCCCC(=O)O,CCCCCCCCCCCCCCCC(=O)O,CCCCCCCCCCCCCCCCCC(=O)O,CCCCCCCCC=CCCCCCCCC(=O)O,CCCCCC=CCC=CCCCCCCCC(=O)O,CCC=CCC=CCC=CCCCCCCCC(=O)O,,
Rapeseed methyl ester,"C16:0 :7.6, C16:1 : 0.6, C18:0 : 2.3, C18:1 : 51.7, C18:2 : 19.7, C18:3 : 9.1",B100 Biodiesel,4,C16:0,0.076,C16:1,0.006,C18:0,0.023,C18:1,0.517,C18:2,0.197,C18:3,0.091,,,,,,,,,,,,,,,,CCCCCCCCCCCCCCCC(=O)O,,CCCCCCCCCCCCCCCCCC(=O)O,CCCCCCCCC=CCCCCCCCC(=O)O,CCCCCC=CCC=CCCCCCCCC(=O)O,CCC=CCC=CCC=CCCCCCCCC(=O)O,,,,,
Soybean methyl ester,"C16:0 :13.6, C18:0 : 6, C18:1 : 21.5, C18:2 : 41.7, C18:3 : 10.9",B100 Biodiesel,4,C16:0,0.136,C18:0,0.06,C18:1,0.215,C18:2,0.417,C18:3,0.109,,,,,,,,,,,,,,,,,,CCCCCCCCCCCCCCCC(=O)O,CCCCCCCCCCCCCCCCCC(=O)O,CCCCCCCCC=CCCCCCCCC(=O)O,CCCCCC=CCC=CCCCCCCCC(=O)O,CCC=CCC=CCC=CCCCCCCCC(=O)O,,,,,,
Soybean methyl ester B10 + RFD,"Soybean methyl ester : 10 , RFD: 90",B10 Biodiesel,4.4,C16:0,0.0136,C18:0,0.006,C18:1,0.0215,C18:2,0.0417,C18:3,0.0109,toluene,0.27,n-heptane,0.63,,,,,,,,,,,,,,CCCCCCCCCCCCCCCC(=O)O,CCCCCCCCCCCCCCCCCC(=O)O,CCCCCCCCC=CCCCCCCCC(=O)O,CCCCCC=CCC=CCCCCCCCC(=O)O,CCC=CCC=CCC=CCCCCCCCC(=O)O,CC1=CC=CC=C1,CCCCCCC,,,,
Rapeseed methyl ester B9.9 + RFD,"Rapeseed methyl ester : 9.9, RFD : 90.1",B9.9 Biodiesel,4.4,C16:0,0.007524,C16:1,0.000594,C18:0,0.002277,C18:1,0.051183,C18:2,0.019503,C18:3,0.009009,toluene,0.2703,n-heptane,0.6307,,,,,,,,,,,,CCCCCCCCCCCCCCCC(=O)O,,CCCCCCCCCCCCCCCCCC(=O)O,CCCCCCCCC=CCCCCCCCC(=O)O,CCCCCC=CCC=CCCCCCCCC(=O)O,CCC=CCC=CCC=CCCCCCCCC(=O)O,CC1=CC=CC=C1,CCCCCCC,,,
Date pit methyl ester B19.8 + RFD,"Date pit methyl ester : 19.8, RFD : 80.2",B19.8 Biodiesel,4.4,C8:0,0.00297,C10:0,0.00297,C12:0,0.039798,C14:0,0.020592,C16:0,0.026928,C18:0,0.005544,C18:1,0.064746,C18:2,0.01485,C18:3,0.002574,toluene,0.2406,n-heptane,0.5614,,,,,,CCCCCCCC(=O)O,CCCCCCCCCC(=O)O,CCCCCCCCCCCC(=O)O,CCCCCCCCCCCCCC(=O)O,CCCCCCCCCCCCCCCC(=O)O,CCCCCCCCCCCCCCCCCC(=O)O,CCCCCCCCC=CCCCCCCCC(=O)O,CCCCCC=CCC=CCCCCCCCC(=O)O,CCC=CCC=CCC=CCCCCCCCC(=O)O,CC1=CC=CC=C1,CCCCCCC
Soybean methyl ester B19.9 + RFD,"Soybean methyl ester : 19.9, RFD : 80.1",B19.9 Biodiesel,4.4,C16:0,0.027064,C18:0,0.01194,C18:1,0.042785,C18:2,0.082983,C18:3,0.021691,toluene,0.2403,n-heptane,0.5607,,,,,,,,,,,,,,CCCCCCCCCCCCCCCC(=O)O,CCCCCCCCCCCCCCCCCC(=O)O,CCCCCCCCC=CCCCCCCCC(=O)O,CCCCCC=CCC=CCCCCCCCC(=O)O,CCC=CCC=CCC=CCCCCCCCC(=O)O,CC1=CC=CC=C1,CCCCCCC,,,,
Rapeseed methyl ester B19.9 + RFD,"Rapeseed methyl ester : 19.9, RFD : 80.1",B19.9 Biodiesel,4.2,C16:0,0.015124,C16:1,0.001194,C18:0,0.004577,C18:1,0.102883,C18:2,0.039203,C18:3,0.018109,toluene,0.2403,n-heptane,0.5607,,,,,,,,,,,,CCCCCCCCCCCCCCCC(=O)O,,CCCCCCCCCCCCCCCCCC(=O)O,CCCCCCCCC=CCCCCCCCC(=O)O,CCCCCC=CCC=CCCCCCCCC(=O)O,CCC=CCC=CCC=CCCCCCCCC(=O)O,CC1=CC=CC=C1,CCCCCCC,,,
dimethyl carbonate 70% + n-decane,"dimethyl carbonate : 70, n-decane: 30",Other (Oxygenated + Paraffinic),8.8,dimethyl carbonate,0.7,n-decane,0.3,,,,,,,,,,,,,,,,,,,,,,,,COC(=O)OC,CCCCCCCCCC,,,,,,,,,
