,fuel1 inchi,fuel2 inchi,fuel3 inchi,fuel4 inchi,molar fraction fuel 1,molar fraction fuel 2,molar fraction fuel 3,Experimental value (from literature),Synthetic value
0,"InChI=1S/C6H12/c1-3-5-6-4-2/h3H,1,4-6H2,2H3","InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3",,,0.13,,,19.53,16.3
1,"InChI=1S/C6H12/c1-3-5-6-4-2/h3H,1,4-6H2,2H3","InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3",,,0.25,,,19.7,17.5
2,"InChI=1S/C6H12/c1-3-5-6-4-2/h3H,1,4-6H2,2H3","InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3",,,0.36,,,21.7,18.6
3,"InChI=1S/C6H12/c1-3-5-6-4-2/h3H,1,4-6H2,2H3","InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3",,,0.47,,,23,19.8
4,"InChI=1S/C6H12/c1-3-5-6-4-2/h3H,1,4-6H2,2H3","InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3",,,0.57,,,23.6,20.8
5,"InChI=1S/C6H12/c1-3-5-6-4-2/h3H,1,4-6H2,2H3","InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3",,,0.67,,,24.6,21.8
6,"InChI=1S/C6H12/c1-3-5-6-4-2/h3H,1,4-6H2,2H3","InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3",,,0.76,,,25.9,22.7
7,"InChI=1S/C6H12/c1-3-5-6-4-2/h3H,1,4-6H2,2H3","InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3",,,0.84,,,26.8,23.5
8,"InChI=1S/C6H12/c1-3-5-6-4-2/h3H,1,4-6H2,2H3","InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3",,,0.92,,,27.9,24.3
9,InChI=1S/C6H12/c1-2-4-6-5-3-1/h1-6H2,"InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3",,,0.15,,,16.2,15.5
10,InChI=1S/C6H12/c1-2-4-6-5-3-1/h1-6H2,"InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3",,,0.28,,,16.3,16.0
11,InChI=1S/C6H12/c1-2-4-6-5-3-1/h1-6H2,"InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3",,,0.4,,,16.4,16.4
12,InChI=1S/C6H12/c1-2-4-6-5-3-1/h1-6H2,"InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3",,,0.51,,,16.5,16.8
13,InChI=1S/C6H12/c1-2-4-6-5-3-1/h1-6H2,"InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3",,,0.61,,,16.6,17.2
14,InChI=1S/C6H12/c1-2-4-6-5-3-1/h1-6H2,"InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3",,,0.7,,,16.9,17.5
15,InChI=1S/C6H12/c1-2-4-6-5-3-1/h1-6H2,"InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3",,,0.78,,,17.3,17.8
16,InChI=1S/C6H12/c1-2-4-6-5-3-1/h1-6H2,"InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3",,,0.86,,,17.7,18.1
17,InChI=1S/C6H12/c1-2-4-6-5-3-1/h1-6H2,"InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3",,,0.93,,,18,18.3
18,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3","InChI=1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3",,,0.52,,,37.7,30.0
19,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3","InChI=1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3",,,0.47,,,34.7,27.6
20,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3","InChI=1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3",,,0.42,,,31.2,25.3
21,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3","InChI=1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3",,,0.37,,,28,22.9
22,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3","InChI=1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3",,,0.33,,,25.1,21.0
23,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3","InChI=1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3",,,0.28,,,21.7,18.6
24,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3","InChI=1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3",,,0.24,,,18.1,16.7
