SMILES,EX_Boiling Point,bp_predicted
CC(C)(C)CC1=CC=CC=C1,186.0,201.58000000000004
CC(C)CC1CCCC1,148.0,147.21000000000004
CC(=CCCC(=CCC=C(C)C=C)C)C,130.0,278.44999999999993
CC=C(C)C(C)C,91.0,90.20999999999998
CC(OC)(OC)OC,109.0,104.88
CC1CCCC1(C)C,113.7,120.33999999999997
CC1CC1(C)C,53.0,66.04000000000002
CC1CCCCC1(C)C,146.0,147.48999999999995
CC1CCCC(C1)(C)C,136.6,147.48999999999995
CC1CCC(C1)(C)C,104.9,120.33999999999997
CC1(CCCC1)C,87.8,102.13
CCOC(C)OCC,102.0,108.13
CCC(OCC)OCC,121.0,131.01
CC(OC)OC,63.0,62.370000000000005
CC1(CCCCC1)C,119.5,129.28000000000003
CC1=CC(=C(C(=C1C)C)C)C,232.0,224.73000000000002
C1CCC2=CC=CC=C2C1,207.2,202.58999999999997
CC1=C(C(=C(C=C1)C)C)C,205.0,196.87
CC1=CC(=C(C(=C1)C)C)C,198.0,196.87
CC1=C(C(=CC=C1)C)C,176.0,169.01
CC1=CC(=C(C=C1C)C)C,197.0,196.87
CC1=CC(=C(C=C1)C)C,169.4,169.01
CCCCOCCOCCCC,198.0,200.09000000000003
CC1CCCC1C,99.5,97.21999999999997
CCOCCOCC,120.6,108.57000000000005
CCC1=CC=CC=C1CC,183.4,186.91000000000003
COC1=CC=CC=C1OC,206.0,185.99
COCCOC,85.0,62.81000000000006
CC1=CC=CC=C1C,144.4,141.14999999999998
CC1=C(C2=CC=CC=C2C=C1)C,267.0,256.63
CCC1CO1,63.4,51.65999999999997
C(CO)O,197.5,156.57
CC(CO)O,187.3,179.01
CC1CCCCC1C,129.7,124.37
CCC1=CC(=CC(=C1)CC)CC,215.8,237.64999999999998
CC(C)C1=CC(=CC(=C1)C(C)C)C(C)C,249.0,304.97
CC1=CC(=CC(=C1)C)C,164.7,169.01
CC1CC(CC(C1)C)C,141.0,142.58000000000004
CCC1=CC(=CC(=C1)C)C,184.0,191.89
CC1CCC(C1)C,91.7,97.21999999999997
C1CC=CC=C1,80.3,86.27000000000004
CCC1=CC(=CC=C1)CC,181.1,186.91000000000003
CC(C)C1=CC(=CC=C1)C(C)C,203.0,231.79000000000002
CC1=CC(=CC=C1)C,139.1,141.14999999999998
CC1CCCC(C1)C,124.4,124.37
CC1=CC2=CC=CC=C2C(=C1)C,265.0,256.63
C1COCO1,75.3,68.94
C1=CC(=CC=C1C(=O)O)C(=O)O,300.0,432.16999999999996
C1C=CCC=C1,89.5,86.27000000000004
CCC1=CC=C(C=C1)CC,184.0,186.91000000000003
CC1=CC=C(C=C1)C,138.3,141.14999999999998
CC1CCC(CC1)C,124.3,124.37
CC1=CC=C(C2=CC=CC=C12)C,264.0,256.63
C=CC#CC=C,85.0,66.09000000000003
C1CC=CCCC=C1,149.0,140.57
CC1=C2C=CC=C(C2=CC=C1)C,267.0,256.63
CC1CCCC2=C(C=CC=C12)C,239.0,248.65999999999997
C=CCCCCCCC=C,164.0,148.61000000000007
C=CC#C,6.0,4.770000000000039
CCC=C,-6.3,14.649999999999977
CCCCCCCCC#C,174.0,145.36999999999995
CCCCCCOCC,142.0,131.91000000000003
CCCOCC,63.0,63.27000000000004
CCC1=CCCC1,106.2,110.69999999999999
CCCCC#C,71.2,53.849999999999966
CCCCCOC,99.0,86.15000000000003
CCC1(CCCC1)C,121.5,125.01000000000005
CC1=CC(=CC=C1)C(C)C,175.0,186.47000000000003
CCCCCCCC#C,150.8,122.48999999999995
CCCC=C,30.0,37.52999999999997
CC#CC=C,59.0,46.52999999999997
CCC(=O)C1=CC=CC=C1,217.4,212.91999999999996
CCCCO,117.6,110.14999999999998
CCCCOCC(C)O,172.0,200.77000000000004
CCC#C,8.1,8.089999999999975
C1CCC(=CC1)C2=CC=CC=C2,268.0,256.04999999999995
CCCCCCCCCCO,229.0,247.42999999999995
CCCCCCCCC=C,171.0,151.92999999999995
CCCCCCCCCCCCO,264.1,293.18999999999994
CCCCCCCCCCC=C,213.4,197.68999999999994
CCC1=CC=CC=C1C=C,189.0,183.58999999999997
CC1=CC=CC=C1C=C,170.0,160.70999999999998
CCC1=CC(=CC=C1)C=C,190.0,183.58999999999997
CC1=CC(=CC=C1)C=C,170.0,160.70999999999998
CC1=CC=C(C=C1)C=C,172.0,160.70999999999998
CCC1=CC=CC(=C1C)C,194.0,191.89
CCC1=C(C=C(C=C1)C)C,188.0,191.89
CCC1=CC=CC=C1C,165.1,164.03000000000003
