SMILES,EX_Liquid Density,m,sigma,epsilon_k,epsilonAB,KAB,molar_mass_rdkit,density_25C_1atm
CC=C(C)C(C)C,712.6,2.8471708620116125,3.7848618946761348,258.73171539799114,361.49795882233553,0.0017,98.18899999999998,
CC1CCCCC1(C)C,798.6,3.0230112592441913,3.9649540782948245,281.2548781941031,9.094947017729282e-13,4.336808689942018e-18,126.243,
C1CCC2=CC=CC=C2C1,965.0,3.175519665085865,3.8508778803198163,330.4640741407176,9.094947017729282e-13,4.336808689942018e-18,132.20599999999996,
CC1=C(C(=C(C=C1)C)C)C,904.6,3.2433949756881737,3.805166769537358,303.83962309434753,0.06071151393211949,0.00010000000000000417,134.22199999999998,
CC1=CC(=C(C(=C1)C)C)C,890.4,4.054343643065022,3.5734856264447266,263.7659887967522,94.73609625877543,0.009500000000000001,134.22199999999998,
CC1=C(C(=CC=C1)C)C,890.6,4.10049470719709,3.544838245662226,269.99727564091296,109.44518993265575,0.009500000000000001,120.19499999999996,
CC1=CC(=C(C=C1C)C)C,868.0,3.6371240042361834,3.7994003368393887,291.51104657601,9.094947017729282e-13,4.336808689942018e-18,134.22199999999998,
CC1=CC(=C(C=C1)C)C,871.71,3.330542340094059,3.771585444113891,292.4041689002965,9.094947017729282e-13,4.336808689942018e-18,120.19499999999998,
CC1CCCC1C,764.0,2.9387361844659945,3.9544840267341725,281.5144454276525,9.094947017729282e-13,4.336808689942018e-18,98.189,
CC1CCCCC1C,783.4,2.927643706375117,3.992543529936488,284.1931471440988,9.094947017729282e-13,4.336808689942018e-18,112.216,
CC1=CC(=CC(=C1)C)C,861.1,3.5803307186078674,3.7192306920405263,280.3962361123511,9.094947017729282e-13,4.336808689942018e-18,120.19499999999998,
CCC1=CC(=CC(=C1)C)C,864.4,3.703888872607007,3.7307011535357484,280.34718435251347,9.094947017729282e-13,4.336808689942018e-18,134.22199999999998,
CC1CCC(C1)C,740.2,2.910124127914806,3.8931712825538685,271.5410591527217,29.006934400018793,0.00020000000000000356,98.189,
C1CC=CC=C1,844.0,2.60511520226381,3.6677878560987964,284.30011862958617,76.38057532188196,0.0003000000000000038,80.13,
CCC1=CC(=CC=C1)CC,859.7,3.727293839947664,3.7906820114724913,282.22633893717784,9.094947017729282e-13,4.336808689942018e-18,134.22199999999998,
CC1=CC(=CC=C1)C,859.9,3.2466429705373256,3.7269879755072184,292.39418447865717,9.094947017729282e-13,4.336808689942018e-18,106.16799999999998,
C1C=CCC=C1,857.3,2.643037864471417,3.642717862933579,282.1239781655896,9.094947017729282e-13,4.336808689942018e-18,80.12999999999998,
CCC1=CC=C(C=C1)CC,861.9,3.6890612429445886,3.778137777366614,283.54092165883037,9.094947017729282e-13,4.336808689942018e-18,134.22199999999998,
CCC=C,577.0,2.437769128475378,3.6728753785123587,229.12821783242063,9.094947017729282e-13,4.336808689942018e-18,56.108,
CC1=CC(=CC=C1)C(C)C,861.0,3.6031593468201963,3.908973337713343,325.2720050829024,9.094947017729282e-13,4.336808689942018e-18,134.22199999999998,
CCCC=C,645.8,2.6945528517762143,3.7351108380098177,236.26275070272507,9.094947017729282e-13,4.336808689942018e-18,70.135,
CC(C)CC1=CC=CC=C1,849.0,3.6488036656800387,3.8328862974208544,280.5545874802254,9.094947017729282e-13,4.336808689942018e-18,134.22199999999998,
CCCCO,805.8,3.7848421418470033,3.453825599724133,247.6602701240485,2275.720016634724,0.010000000000000002,74.12299999999999,
CCC1=CC=CC=C1C=C,911.4,3.489284558488905,3.7360152068469525,288.3184173160938,523.7965307382149,0.0025000000000000005,132.20599999999996,
CCC1=CC=C(C=C1)C=C,897.6,3.500546558860263,3.7076403482824802,270.5806438406707,537.6250643798858,0.0025,132.20599999999996,
CCC1=CC=CC(=C1C)C,892.0,3.5542872766634988,3.7552749568094734,297.05678020505286,9.094947017729282e-13,4.336808689942018e-18,134.22199999999998,
CCC1=CC=CC=C1C,880.8,3.5454704838350186,3.810449927576434,297.84764012105916,9.094947017729282e-13,4.336808689942018e-18,120.19499999999996,
CCC1=CC=CC(=C1)C,862.3,3.5721413816406136,3.765032960592637,286.66187669651316,9.094947017729282e-13,4.336808689942018e-18,120.19499999999996,
CCC1=CC=C(C=C1)C,860.9,3.4745337448630598,3.772887165697997,286.62030072107933,9.094947017729282e-13,4.336808689942018e-18,120.19499999999996,
CCCCCC=C,692.9,3.0477837409181965,3.7541094211150994,241.33055645855296,9.094947017729282e-13,4.336808689942018e-18,98.189,
CCCCC=C,668.9,2.9821941692009655,3.7522688956187653,238.4016430437414,9.094947017729282e-13,4.336808689942018e-18,84.16199999999999,
CC1=CC=C(C=C1)C(C)C,862.0,3.4416916011457355,3.8950208501874974,290.46849766845605,9.094947017729282e-13,4.336808689942018e-18,134.22199999999998,
CC1=CCC=CC1,837.9,3.4757249820271445,3.8254645804008205,291.94558483749086,9.094947017729282e-13,4.336808689942018e-18,94.157,
CC1=CCCCC1,809.9,3.441650318043633,3.7827960759906936,291.45042351213607,9.094947017729282e-13,4.336808689942018e-18,96.17300000000002,
CC1=CCCC1,776.5,3.1495374751158094,3.9197968875497877,323.06700094233537,9.094947017729282e-13,4.336808689942018e-18,82.14600000000002,
CC1=CC=CC=C1C(C)C,876.6,3.5202834162943324,3.8982391320233023,297.66430541812355,9.094947017729282e-13,4.336808689942018e-18,134.22199999999998,
CCCC1=CC=CC=C1C,874.4,3.513345031690642,3.887574044401877,300.7887436521548,9.094947017729282e-13,4.336808689942018e-18,134.22199999999995,
CCCC1=CC=CC(=C1)C,861.0,3.477335166056834,3.763833826402747,288.40724638779034,9.094947017729282e-13,4.336808689942018e-18,134.22199999999995,
CCCC1=CC=C(C=C1)C,858.0,3.372270867078718,3.787879134544066,288.93105361956947,9.094947017729282e-13,4.336808689942018e-18,134.22199999999995,
CC1=CCCCCC1,813.0,3.446393118046789,3.7923269584410813,292.3793023769013,9.094947017729282e-13,4.336808689942018e-18,110.20000000000002,
CCCCCCCC=C,725.3,5.428900595831321,3.8785288319653075,250.7937958216942,9.094947017729282e-13,4.336808689942018e-18,126.243,
CCCCCCCCO,826.2,4.610081698856996,3.930145471297376,271.3229866236351,2250.357426204717,0.010000000000000002,130.23100000000002,
CCCCCCC=C,711.0,5.428900595831321,3.8785288319653075,250.7937958216942,9.094947017729282e-13,4.336808689942018e-18,112.216,
CCCCCO,810.91,4.458161706317764,3.4539630129161716,244.21909847376148,2137.9177215661143,0.010000000000000002,88.14999999999999,
CCCO,799.6,2.839654946993088,3.497888381101247,254.00847206929745,2323.2713151877206,0.010000000000000002,60.096,
CC(C)(C)C(C)(C)C,710.0,2.753265912136021,3.952786675149459,248.00687712852977,9.094947017729282e-13,4.336808689942018e-18,114.23199999999999,
CCC(C)(C)C(C)(C)C,723.0,2.901722077661778,4.127374148029263,288.5430391519138,9.094947017729282e-13,4.336808689942018e-18,128.25899999999996,
CC(C)C(C)C(C)(C)C,720.0,2.832706797475328,4.037900719360999,254.12867135266356,9.094947017729282e-13,4.336808689942018e-18,128.259,
CCC(C)C(C)(C)C,712.07,3.112517667709809,4.049818609857972,260.0489483131647,9.094947017729282e-13,4.336808689942018e-18,114.23199999999999,
CC(C)C(C)(C)C,685.76,2.764644497178352,4.050837441467081,254.81880369818785,9.094947017729282e-13,4.336808689942018e-18,100.20499999999998,
CCCC(C)C(C)(C)C,729.2,3.1732073477875673,4.016086196748795,256.0032832162552,9.094947017729282e-13,4.336808689942018e-18,128.259,
CC(C)(C)CC(C)(C)C,719.8,3.323765860542605,4.04660386818997,252.98306208738438,9.094947017729282e-13,4.336808689942018e-18,128.259,
CC(C)C(=O)C(C)(C)C,807.5,3.6865964817443935,3.7027852558347822,279.3894228776225,176.03001384756348,0.0018999999999999998,128.21499999999997,
