source_paper,fuel_name,is_biodiesel,fuel_type,feedstock_type,boiling_point,melting_point,flash_point_C,density_kg_m3,dynamic_viscosity_at_20,dynamic_viscosity_at_60,lower_heating_value_MJ_kg,cetane_number,engine_type,engine_speed,injection_pressure_bar,IMEP_bar,CIN_injection_timing_CAD_BTDC,CIN_ignition_delay_CAD,CIN_indicated_thermal_efficiency,CIN_injection_duration,CIN_peak_pressure_bar,CIN_peak_HRR_J_deg,CIN_max_average_temp_K,CIN_NOx_ppm,CIN_CO_ppm,CIN_THC_ppm,CIN_particulate_mass_mg_m3,CIG_ignition_timing_CAD_BTDC,CIG_ignition_delay_CAD,CIG_indicated_thermal_efficiency,CIG_injection_duration,CIG_peak_pressure_bar,CIG_peak_HRR_J_deg,CIG_max_average_temp_K,CIG_NOx_ppm,CIG_CO_ppm,CIG_THC_ppm,CIG_particulate_mass_mg_m3,2_EHN_dosage_ppm,CID_injection_timing_CAD_BTDC,CID_ignition_timing_CAD_BTDC,CID_ignition_delay_CAD,CID_indicated_thermal_efficiency,CID_injection_duration,CID_peak_pressure_bar,CID_peak_HRR_J_deg,CID_max_average_temp_K,CID_NOx_ppm,CID_CO_ppm,CID_THC_ppm,CID_particulate_mass_mg_m3
"Hellier, Ladommatos, Yusaf - 2015 - The influence of straight vegetable oil fatty acid composition",Diesel,,,Fossil Diesel,,,66.5,834.5,3.41,1.72,43.14,51.7,Compression Ignition,1200,450,,7.5,7.2,42.97,602.0,62.0,155.8,1414.56310679611,622.6,532.710018162934,326.335763261649,0.0011214308307213,,7.1,42.81,604.0,60.7692307692307,154.298642533936,1412.18446601941,628.102949681897,532.710018162934,379.464070367836,0.0011214308307213,,,,,,,,,,,,,
"Hellier, Ladommatos, Yusaf - 2015 - The influence of straight vegetable oil fatty acid composition",Algal,,,Vegetable Oil,,,220.0,912.0,79.87,18.7,35.8,-,Compression Ignition,1200,450,,7.5,6.9,41.1,737.0,53.0,46.3,1325.87378640776,249.8,898.1,570.7,0.313649826034447,,6.8,40.21,743.0,52.7692307692307,46.465934065934,1322.81553398058,241.604420198629,1003.54447950147,883.478128184051,0.343566150041694,,,,,,,,,,,,,
"Hellier, Ladommatos, Yusaf - 2015 - The influence of straight vegetable oil fatty acid composition",Corn,,,Vegetable Oil,,,277.0,916.7,66.57,16.7,39.5,37.6,Compression Ignition,1200,450,,7.5,7.7,37.07,752.0,52.0,45.1,1316.35922330097,234.9,1018.6,566.8,0.437335020272018,,7.5,36.88,754.0,52.4,46.0615384615384,1319.75728155339,236.542173730591,1056.25538366123,713.788079405003,0.452293182275641,,,,,,,,,,,,,
"Hellier, Ladommatos, Yusaf - 2015 - The influence of straight vegetable oil fatty acid composition",Groundnut,,,Vegetable Oil,,,271.0,902.6,86.7,19.87,39.8,41.8,Compression Ignition,1200,450,,7.5,7.1,36.5,746.0,52.3,47.2,1319.75728155339,242.5,950.9,613.4,0.341633838456451,,7.1,36.28,743.0,53.3846153846153,47.4505494505494,1317.37864077669,233.105329416701,999.429516491846,713.394303040445,0.373212180464099,,,,,,,,,,,,,
"Hellier, Ladommatos, Yusaf - 2015 - The influence of straight vegetable oil fatty acid composition",Palm,,,Vegetable Oil,,,330.0,910.0,87.67,19.4,36.54,42,Compression Ignition,1200,450,,7.5,6.9,39.94,747.0,52.1,47.5,1311.60194174757,239.1,889.9,592.7,0.265899876355062,,6.8,39.44,747.0,51.6615384615384,47.2043956043956,1305.14563106796,228.052874527906,945.923184075683,659.895846151574,0.304114788509647,,,,,,,,,,,,,
"Hellier, Ladommatos, Yusaf - 2015 - The influence of straight vegetable oil fatty acid composition",Rapeseed,,,Vegetable Oil,,,246.0,914.5,73.97,18.0,39.7,37.6,Compression Ignition,1200,450,,7.5,7.7,36.87,764.0,51.2,45.5,1301.06796116504,225.6,1040.7,545.2,0.495954222618397,,7.7,36.59,759.0,51.5384615384615,45.8505494505494,1305.4854368932,228.914533501189,1051.75451981433,642.904396020889,0.495954222618397,,,,,,,,,,,,,
"Hellier, Ladommatos, Yusaf - 2015 - The influence of straight vegetable oil fatty acid composition",Soybean,,,Vegetable Oil,,,254.0,918.5,71.9,17.6,39.6,37.9,Compression Ignition,1200,450,,7.5,7.7,37.21,760.0,52.9,46.3,1308.88349514563,234.2,996.5,541.3,0.465083244673203,,7.6,36.92,761.0,53.7538461538461,46.8351648351648,1314.32038834951,236.777171632396,1034.77094521094,695.599549126062,0.483376944532305,,,,,,,,,,,,,
"Hellier, Ladommatos, Yusaf - 2015 - The influence of straight vegetable oil fatty acid composition",Sunflower,,,Vegetable Oil,,,274.0,916.9,69.5,17.2,39.6,37.1,Compression Ignition,1200,450,,7.5,7.5,37.27,756.0,53.8,46.2,1313.30097087378,236.4,992.7,561.0,0.475762716738073,,7.6,36.53,750.0,53.876923076923,45.6571428571428,1316.01941747572,239.802769618128,1041.00048729825,728.401120293757,0.499019466889035,,,,,,,,,,,,,
"Koivisto, Ladommatos, Gold - 2015 - Compression Ignition and Exhaust Gas Emissions of Fuel Molecules Which Can Be Produced from Lignocel",Heptane,,,Alkane,372.0,,,682.0,0.39,,45.0,,Compression Ignition,1200,600,,7.5,5.3,49.4,,,65.0,1481.0,1359.2,,,0.0196341463414634,,,,,,,,,,,,,,,,,,,,,,,,
"Koivisto, Ladommatos, Gold - 2015 - Compression Ignition and Exhaust Gas Emissions of Fuel Molecules Which Can Be Produced from Lignocel",Nonane,,,Alkane,424.0,,,715.0,0.67,,45.0,,Compression Ignition,1200,600,,7.5,5.1,41.4,,,60.5,1450.0,1135.3,,,0.0220731707317073,,,,,,,,,,,,,,,,,,,,,,,,
