source_paper,fuel_name,is_biodiesel,fuel_type,feedstock_type,boiling_point,melting_point,flash_point_C,density_kg_m3,dynamic_viscosity_at_20,dynamic_viscosity_at_60,lower_heating_value_MJ_kg,cetane_number,engine_type,engine_speed,injection_pressure_bar,IMEP_bar,CIN_injection_timing_CAD_BTDC,CIN_ignition_delay_CAD,CIN_indicated_thermal_efficiency,CIN_injection_duration,CIN_peak_pressure_bar,CIN_peak_HRR_J_deg,CIN_max_average_temp_K,CIN_NOx_ppm,CIN_CO_ppm,CIN_THC_ppm,CIN_particulate_mass_mg_m3,CIG_ignition_timing_CAD_BTDC,CIG_ignition_delay_CAD,CIG_indicated_thermal_efficiency,CIG_injection_duration,CIG_peak_pressure_bar,CIG_peak_HRR_J_deg,CIG_max_average_temp_K,CIG_NOx_ppm,CIG_CO_ppm,CIG_THC_ppm,CIG_particulate_mass_mg_m3,2_EHN_dosage_ppm,CID_injection_timing_CAD_BTDC,CID_ignition_timing_CAD_BTDC,CID_ignition_delay_CAD,CID_indicated_thermal_efficiency,CID_injection_duration,CID_peak_pressure_bar,CID_peak_HRR_J_deg,CID_max_average_temp_K,CID_NOx_ppm,CID_CO_ppm,CID_THC_ppm,CID_particulate_mass_mg_m3
Compression ignition and pollutant emissions of large alkylbenzenes,1-Heptanol,yes,Alcohol,plant/animal oils or fermentation of sugars,449.0,,,820,5.78,,,,Compression Ignition,1200,600,,7.5,8.1,,,,168.4,,700,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compression ignition and pollutant emissions of large alkylbenzenes,1-Octanol,yes,Alcohol,"palm oil, coconut oil, etc",468.0,,,823,7.49,,,,Compression Ignition,1200,600,,7.5,8.1,,,,173.8,,750,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compression ignition and pollutant emissions of large alkylbenzenes,1-Dodecanol,yes,Alcohol, lauric acid found in palm or coconut oil,535.0,,,830,16.34,,,,Compression Ignition,1200,600,,7.5,5.3,,,,94.7,,650,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compression ignition and pollutant emissions of large alkylbenzenes,Heptylbenzene,No,Alkylbenzene,Fossil / Synthetic,519.0,,,853,1.92,,,,Compression Ignition,1200,600,,7.5,6.1,,,,156.9,,900,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compression ignition and pollutant emissions of large alkylbenzenes,Octylbenzene,No,Alkylbenzene,Fossil / Synthetic,538.0,,,853,2.37,,,,Compression Ignition,1200,600,,7.5,5.5,,,,141.8,,850,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compression ignition and pollutant emissions of large alkylbenzenes,Dodecylbenzene,No,Alkylbenzene,Fossil / Synthetic,601.0,,,849,4.95,,,,Compression Ignition,1200,600,,7.5,5.3,,,,98.9,,800,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compression ignition and pollutant emissions of large alkylbenzenes,Heptane,No,Alkane (Paraffin),Fossil,372.0,,,682,0.39,,,,Compression Ignition,1200,600,,7.5,6.0,,,,139.2,,600,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compression ignition and pollutant emissions of large alkylbenzenes,Octane,No,Alkane (Paraffin),Fossil,399.0,,,699,0.51,,,,Compression Ignition,1200,600,,7.5,5.5,,,,118.8,,600,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compression ignition and pollutant emissions of large alkylbenzenes,Dodecane,No,Alkane (Paraffin),Fossil,489.0,,,745,1.39,,,,Compression Ignition,1200,600,,7.5,4.5,,,,57.0,,550,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compression ignition and pollutant emissions of large alkylbenzenes,Toluene+Hexane,Blend,Alkane/Aromatic Mix,Fossil,,,,692,,,,,Compression Ignition,1200,600,,7.5,6.7,,,,176.4,,700,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compression ignition and pollutant emissions of large alkylbenzenes,Toluene+Heptane,Blend,Alkane/Aromatic Mix,Fossil,,,,720,,,,,Compression Ignition,1200,600,,7.5,6.3,,,,162.6,,800,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compression ignition and pollutant emissions of large alkylbenzenes,Toluene+Undecane,Blend,Alkane/Aromatic Mix,Fossil,,,,783,,,,,Compression Ignition,1200,600,,7.5,5.2,,,,93.1,,750,,,,,,,,,,,,,,,,,,,,,,,,,,,
