,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paper,name,fuel_type,is_biofuel,density_at_15_kg_m3,density_at_20_kg_m3,density_at_25_kg_m3,density_at_60_kg_m3,dynamic_viscosity_at_20_mPa_s,dynamic_viscosity_at_25_mPa_s,dynamic_viscosity_at_60_mPa_s,kinematic_viscosity_at_20_cST,kinematic_viscosity_at_40_cST,lower_heating_value_MJ_kg,D(CN),measurement_type,injection_timing_CAD_BTDC,ignition_delay_CAD,YSI,total_particulate_mass_concentration_mg_m2,C8:0,C10:0,C12:0,C14:0,C16:0,C18:0,C18:1,C18:2,C18:3,C16:1,Reference fossil diesel,farnesene,geranial,toluene,n-heptane,1-octene,n-octane,C18:3n6,C18:3n3,C20:1,other,C16,C18
Hellier et al. - 2019 - Combustion and emissions characteristics of date pit methyl ester in a single cylinder direct injection diesel engine,Date pit methyl ester,waste-derived biodiesel,Y,870.0,,,,,,,,3.97,41.27,58.23,,5.0,4,,,0.015,0.015,0.201,0.10400000000000001,0.136,0.027999999999999997,0.327,0.075,0.013000000000000001,,,,,,,,,,,,,,
Hellier et al. - 2019 - Combustion and emissions characteristics of date pit methyl ester in a single cylinder direct injection diesel engine,Rapeseed methyl ester,waste-derived biodiesel,Y,883.1,,,,,,,,4.325,,52,,5.0,4,,,,,,,0.076,0.023,0.517,0.19699999999999998,0.091,0.006,,,,,,,,,,,,,
Hellier et al. - 2019 - Combustion and emissions characteristics of date pit methyl ester in a single cylinder direct injection diesel engine,Soybean methyl ester,waste-derived biodiesel,Y,884.9,,,,,,,,4.075,,52,,5.0,4,,,,,,,0.136,0.06,0.215,0.41700000000000004,0.109,,,,,,,,,,,,,,
Hellier et al. - 2019 - Combustion and emissions characteristics of date pit methyl ester in a single cylinder direct injection diesel engine,Soybean methyl ester B10,FAME blend,Y,,,,,,,,,,,,,5.0,4.4,,,,,,,0.013600000000000001,0.006,0.021500000000000002,0.04170000000000001,0.0109,,0.9,,,,,,,,,,,,
Hellier et al. - 2019 - Combustion and emissions characteristics of date pit methyl ester in a single cylinder direct injection diesel engine,Rapeseed methyl ester B9.9,FAME blend,Y,,,,,,,,,,,,,5.0,4.4,,,,,,,0.007524,0.002277,0.051183000000000006,0.019503,0.009009,0.000594,0.9009999999999999,,,,,,,,,,,,
Hellier et al. - 2019 - Combustion and emissions characteristics of date pit methyl ester in a single cylinder direct injection diesel engine,Date pit methyl ester B19.8,FAME blend,Y,,,,,,,,,,,,,5.0,4.4,,,0.00297,0.00297,0.03979800000000001,0.020592000000000003,0.026928000000000004,0.0055439999999999994,0.06474600000000001,0.01485,0.0025740000000000003,,0.802,,,,,,,,,,,,
Hellier et al. - 2019 - Combustion and emissions characteristics of date pit methyl ester in a single cylinder direct injection diesel engine,Soybean methyl ester B19.9,FAME blend,Y,,,,,,,,,,,,,5.0,4.4,,,,,,,0.027064,0.01194,0.042785,0.082983,0.021691,,0.8009999999999999,,,,,,,,,,,,
Hellier et al. - 2019 - Combustion and emissions characteristics of date pit methyl ester in a single cylinder direct injection diesel engine,Rapeseed methyl ester B19.9,FAME blend,Y,,,,,,,,,,,,,5.0,4.2,,,,,,,0.015123999999999999,0.0045769999999999995,0.10288299999999999,0.039202999999999995,0.018108999999999997,0.001194,0.8009999999999999,,,,,,,,,,,,
Combustion and emissions characterization of terpenes with a view to their biological production in cyanobacteria,5.0% farnesene,terpene and reference diesel blend,Y,,,,,,,,,,,,,7.5,8.1,,,,,,,,,,,,,0.95,0.05,,,,,,,,,,,
Combustion and emissions characterization of terpenes with a view to their biological production in cyanobacteria,10.1% farnesene,terpene and reference diesel blend,Y,,,,,,,,,,,,,7.5,8.5,,,,,,,,,,,,,0.899,0.10099999999999999,,,,,,,,,,,
