SMILES,EX_Boiling Point
CC(C)(C)CC1=CC=CC=C1,186.0
CC(C)CC1CCCC1,148.0
CC(=CCCC(=CCC=C(C)C=C)C)C,130.0
CC=C(C)C(C)C,91.0
CC(OC)(OC)OC,109.0
CC1CCCC1(C)C,113.7
CC1CC1(C)C,53.0
CC1CCCCC1(C)C,146.0
CC1CCCC(C1)(C)C,136.6
CC1CCC(C1)(C)C,104.9
CC1(CCCC1)C,87.8
CCOC(C)OCC,102.0
CCC(OCC)OCC,121.0
CC(OC)OC,63.0
CC1(CCCCC1)C,119.5
CC1=CC(=C(C(=C1C)C)C)C,232.0
C1CCC2=CC=CC=C2C1,207.2
CC1=C(C(=C(C=C1)C)C)C,205.0
CC1=CC(=C(C(=C1)C)C)C,198.0
CC1=C(C(=CC=C1)C)C,176.0
CC1=CC(=C(C=C1C)C)C,197.0
CC1=CC(=C(C=C1)C)C,169.4
CCCCOCCOCCCC,198.0
CC1CCCC1C,99.5
CCOCCOCC,120.6
CCC1=CC=CC=C1CC,183.4
COC1=CC=CC=C1OC,206.0
COCCOC,85.0
CC1=CC=CC=C1C,144.4
CC1=C(C2=CC=CC=C2C=C1)C,267.0
CCC1CO1,63.4
C(CO)O,197.5
CC(CO)O,187.3
CC1CCCCC1C,129.7
CCC1=CC(=CC(=C1)CC)CC,215.8
CC(C)C1=CC(=CC(=C1)C(C)C)C(C)C,249.0
CC1=CC(=CC(=C1)C)C,164.7
CC1CC(CC(C1)C)C,141.0
CCC1=CC(=CC(=C1)C)C,184.0
CC1CCC(C1)C,91.7
C1CC=CC=C1,80.3
CCC1=CC(=CC=C1)CC,181.1
CC(C)C1=CC(=CC=C1)C(C)C,203.0
CC1=CC(=CC=C1)C,139.1
CC1CCCC(C1)C,124.4
CC1=CC2=CC=CC=C2C(=C1)C,265.0
C1COCO1,75.3
C1=CC(=CC=C1C(=O)O)C(=O)O,300.0
C1C=CCC=C1,89.5
CCC1=CC=C(C=C1)CC,184.0
CC1=CC=C(C=C1)C,138.3
CC1CCC(CC1)C,124.3
CC1=CC=C(C2=CC=CC=C12)C,264.0
C=CC#CC=C,85.0
C1CC=CCCC=C1,149.0
CC1=C2C=CC=C(C2=CC=C1)C,267.0
CC1CCCC2=C(C=CC=C12)C,239.0
C=CCCCCCCC=C,164.0
C=CC#C,6.0
CCC=C,-6.3
CCCCCCCCC#C,174.0
CCCCCCOCC,142.0
CCCOCC,63.0
CCC1=CCCC1,106.2
CCCCC#C,71.2
CCCCCOC,99.0
CCC1(CCCC1)C,121.5
CC1=CC(=CC=C1)C(C)C,175.0
CCCCCCCC#C,150.8
CCCC=C,30.0
CC#CC=C,59.0
CCC(=O)C1=CC=CC=C1,217.4
CCCCO,117.6
CCCCOCC(C)O,172.0
CCC#C,8.1
C1CCC(=CC1)C2=CC=CC=C2,268.0
CCCCCCCCCCO,229.0
CCCCCCCCC=C,171.0
CCCCCCCCCCCCO,264.1
CCCCCCCCCCC=C,213.4
CCC1=CC=CC=C1C=C,189.0
CC1=CC=CC=C1C=C,170.0
CCC1=CC(=CC=C1)C=C,190.0
CC1=CC(=CC=C1)C=C,170.0
CC1=CC=C(C=C1)C=C,172.0
CCC1=CC=CC(=C1C)C,194.0
CCC1=C(C=C(C=C1)C)C,188.0
CCC1=CC=CC=C1C,165.1
CCC1=CC=CC(=C1)C,161.3
CCC1=CC=C(C=C1)C,162.0
CCC1=CCCCC1,136.0
CCC1=CC=CC2=CC=CC=C21,258.0
CCCCCCCO,178.0
CCCCCC=C,94.0
CCCCCC#C,99.8
CCCCCCCCCCCCCCC=C,285.0
CCCCCCO,156.9
CCCCC=C,63.4
CC1=CC=C(C=C1)C(C)C,177.0
CC(COC)O,120.0
CC1=CCCCC1,110.3
CC1=CCCC1,75.0
CC1=CC=CC=C1C(C)C,178.0
CCCC1=CC=CC=C1C,185.0
CCCC1=CC=CC(=C1)C,182.0
CCCC1=CC=C(C=C1)C,183.0
CC1=CC=CC2=CC=CC=C12,244.4
CCCCCCCCCO,213.7
CCCCCCCC=C,146.9
CCCCCCCCO,194.7
CCCCCCC=C,121.3
CCCCCCC#C,126.2
CCCCCO,137.6
CCCC#C,39.9
CCCO,97.04
CCCOCC(C)O,150.2
CCCCCCCCCCCCCCO,295.8
CCCCCCCCCCCCC=C,251.1
CCCCCCCCCCCO,246.0
CCCCCCCCCC=C,192.7
CC(C)(C)C(C)(C)C,106.32
CCCC(C)(C)C(C)(C)C,160.0
CCC(C)(C)C(C)(C)C,140.2
CC(C)C(C)C(C)(C)C,133.0
CCC(C)C(C)(C)C,109.8
CC(C)C(C)(C)C,80.8
CCCC(C)C(C)(C)C,134.0
CC(CC(C)(C)C)CC(C)(C)CC(C)(C)C,246.0
CC(C)(C)C(=O)C(C)(C)C,152.0
CC(C)(C)CC(C)(C)C,122.2
CC(CC(C)(C)C)CC(C)(C)C,178.0
CCC(C)CC(C)(C)C,127.0
CC(C)CC(C)(C)C,99.2
CC(C)(C)CCC(C)(C)C,137.0
CC(C)CCC(C)(C)C,124.0
CC(C)(C)CO,112.0
CCC=CC(C)(C)C,105.4
CC(C)(C)C,9.5
CC(C)(OC)OC,77.4
CCC(CC)C(C)(C)C,134.0
CCC(C)(C)C,49.7
CCC(C)(C)C(=O)O,187.87
CCCCCC(C)(C)C,133.0
