SMILES,EX_Liquid Density
CC=C(C)C(C)C,712.6
CC1CCCCC1(C)C,798.6
C1CCC2=CC=CC=C2C1,965.0
CC1=C(C(=C(C=C1)C)C)C,904.6
CC1=CC(=C(C(=C1)C)C)C,890.4
CC1=C(C(=CC=C1)C)C,890.6
CC1=CC(=C(C=C1C)C)C,868.0
CC1=CC(=C(C=C1)C)C,871.71
CC1CCCC1C,764.0
CC1CCCCC1C,783.4
CC1=CC(=CC(=C1)C)C,861.1
CCC1=CC(=CC(=C1)C)C,864.4
CC1CCC(C1)C,740.2
C1CC=CC=C1,844.0
CCC1=CC(=CC=C1)CC,859.7
CC1=CC(=CC=C1)C,859.9
C1C=CCC=C1,857.3
CCC1=CC=C(C=C1)CC,861.9
CCC=C,577.0
CC1=CC(=CC=C1)C(C)C,861.0
CCCC=C,645.8
CC(C)CC1=CC=CC=C1,849.0
CCCCO,805.8
CCC1=CC=CC=C1C=C,911.4
CCC1=CC=C(C=C1)C=C,897.6
CCC1=CC=CC(=C1C)C,892.0
CCC1=CC=CC=C1C,880.8
CCC1=CC=CC(=C1)C,862.3
CCC1=CC=C(C=C1)C,860.9
CCCCCC=C,692.9
CCCCC=C,668.9
CC1=CC=C(C=C1)C(C)C,862.0
CC1=CCC=CC1,837.9
CC1=CCCCC1,809.9
CC1=CCCC1,776.5
CC1=CC=CC=C1C(C)C,876.6
CCCC1=CC=CC=C1C,874.4
CCCC1=CC=CC(=C1)C,861.0
CCCC1=CC=C(C=C1)C,858.0
CC1=CCCCCC1,813.0
CCCCCCCC=C,725.3
CCCCCCCCO,826.2
CCCCCCC=C,711.0
CCCCCO,810.91
CCCO,799.6
CC(C)(C)C(C)(C)C,710.0
CCC(C)(C)C(C)(C)C,723.0
CC(C)C(C)C(C)(C)C,720.0
CCC(C)C(C)(C)C,712.07
CC(C)C(C)(C)C,685.76
CCCC(C)C(C)(C)C,729.2
CC(C)(C)CC(C)(C)C,719.8
CC(C)C(=O)C(C)(C)C,807.5
CCC(C)CC(C)(C)C,711.0
CC(C)CC(C)(C)C,687.77
CC(C)CCC(C)(C)C,707.5
CCCC(C)(C)CO,837.9
CC(C)(C)CO,812.0
CCC=CC(C)(C)C,704.8
CC(C)(C)C,649.0
CCC(CC)C(C)(C)C,722.0
CCC(C)(C)C,644.63
CC1(CCCCC1=O)C,914.7
CCCCCC(C)(C)C,715.7
CCCCC(C)(C)C,691.12
CCCC(C)(C)C,669.58
CC(C)C(C)(C)C(C)C,720.0
CC(CO)C(C)(C)C,823.8
CC(=C)C(C)(C)C,700.54
CCCC(C)(C)C(C)C,732.3
CCC(C)(C)C(C)C,722.32
CC(C)C(C)C(C)C(C)C,759.3
CCC(C)C(C)C(C)C,734.7
CC(C)C(C)C(C)C,715.03
CC(C)CC(C)C(C)C,721.9
CC(=O)C(=O)C,990.0
CCCC(C)C(C)C,708.09
CC(C)C(C)(C)O,815.5
CC(C)C(C)C,656.98
CCCCC(C)C(C)C,725.8
CCC(C)C(C)C,689.6
CC(=C)CC(C)(C)C,715.1
CCC(C)(C)CC(C)C,719.6
COCOCOCOCOCOCOC,1130.0
COCOCOCOCOCOC,1100.0
COCOCOCOCOC,1060.0
COCOCOCOC,1020.0
COCOCOC,960.0
CC(C)C=C(C)C,695.5
CC(C)C(=O)C(C)C,803.9
CCC(C)CC(C)C,696.2
CC(C)CC(C)C,674.5
CC(C)CC=C(C)C,726.5
CC(C)C=CC(C)C,712.2
CC(=CC=C(C)C)C,764.6
CCC(C)CCC(C)C,714.0
CC(C)CCC(C)C,689.34
CC(C)CC(=O)CC(C)C,801.2
CC1CCCC(C1=O)C,915.0
CC(C)CCCC(C)C,709.8
CC=CC,636.0
CCOC(C)C,721.1
CCC(=C)C(C)C,718.6
CCCCC=CC,713.0
CC(=C)CCC=C,723.0
CC=CC=C(C)C,743.9
CCCC=C(C)C,704.1
CCC(CC)C(C)C,719.32
CCCC=CC(C)C,725.0
CCC=CC(C)C,694.2
CC(C)C,550.9
C=CCC1=CC=CC=C1,923.7
CCC(C)O,802.4
CCCCC1=CC=CO1,898.3
CCC1CCCO1,853.9
CCC1=C(C=CC(=C1)C)C,877.7
CCC(=C)CC,691.4
CCCC(=C)CC,707.9
CCC1=CC=CO1,901.8
C1=COC(=C1)CO,1133.0
CCCCC(C)O,810.14
CC1CCCO1,854.0
CC(=C)C=C,681.0
CCC(C)CO,814.78
CCCC(C)CO,820.6
CC(C)CO,798.03
CCC(C)(C)O,804.01
CC=C(C)C,656.94
CCCCC=C(C)C,720.5
CCCCC(C)(C)O,809.4
CCCC(C)(C)O,809.5
CCC=C(C)C,690.4
CC(C)(C=C)O,820.0
CCCC(=O)C(C)C,842.8
CCC(=O)C(C)C,800.0
CCC(C)C,619.7
CC1=CC=CO1,916.0
CCCCCC(C)C,693.92
CCCCC(C)C,678.9
CC1=CC2=CC=CC=C2C=C1,1004.4
CCCCCCC(C)C,713.5
CCCC(C)C,657.02
CCCCCC=CC,725.0
CCCC(C)O,805.24
CCC=CC,650.6
CC(C)O,780.98
CCC(C)C(C)(C)CC,722.0
CCCCC(C)(C)CC,727.0
CCC(CC)(CC)CC,748.68
CCC(C)(C)C=C,696.1
CCC(C)(C)CCO,832.0
CC(C)(C)CCO,809.7
CC(C)(C)C=C,647.86
CC(=O)C(C)(C)C,722.9
CC1(CCCC(=O)C1)C,906.0
CCCC(C)(C)CC,705.96
CCC(C)(C)CC,689.09
CC=C(C)C(C)(C)C,735.0
CC(C)C(C)C=C,701.0
CCCC(C)C(C)CC,731.4
CCC(C)C(C)CC,715.16
CCC(C)CC(C)CC,719.9
CCC(CC)C=C,694.8
CCC(C(C)C)C(C)C,736.5
CCC(C)C(CC)CC,738.0
CCCCC(CC)CC,725.1
CCCC(CC)CC,709.48
CCCC=CCC,701.6
CCC=CCC,678.8
CCCCC(C)C=C,719.0
CC(C)C=C,621.3
CCC(C)(CC)CC,723.54
CCC=C(C)CC,714.0
CC1=COC=C1,923.0
CCCCCC(C)CC,720.5
CCC(CC)CC,693.77
CCCCC(=O)CC,812.8
CCCC(=O)CC,821.6
CC(C)CCO,806.31
CCCC(C)C=C,694.5
CCC(C)C=C,670.0
CC(C)C(C)O,812.31
CCC(C)C(C)O,811.0
CCCCC(C)CC,701.75
CCCC(C)CC,687.0
CCC(C)CC,659.76
CCC(=O)CC,810.09
CC(C)(C)CCCO,815.0
CC(C)(C)CC=C,680.2
CC=CC(C)(C)C,712.0
CC(=O)CC(C)(C)C,816.5
CCC(CC)CC(C)C,721.0
CCC(C)C=CC,700.7
CC=CC(C)C,670.2
CCCCC(C)CCC,720.17
CCC1=CC(=C(C=C1)O)OC,1051.0
CCCC(=O)CCC,818.5
CC1=CC=C(C=C1)OC,969.0
CC1=CC(=C(C=C1)O)OC,1091.9
CCCC(C)CC=C,719.1
CCC(C)CC=C,696.9
CC(C)CC=C,671.8
CC(C)CC(C)O,802.45
CCCC(C)CCC,700.55
CCCC1=CC=C(C=C1)OC,931.2
CC(C)CCC=C,713.6
CC=CCC(C)C,702.0
CC(C)CCCC=C,712.5
CC=CCCC(C)C,725.0
CCC=CCC(C)C,725.6
C1=CC=C(C=C1)C=O,1043.4
C1=CC=C(C=C1)CCO,1016.0
C1=CC=C(C=C1)CO,1042.0
CC(=O)C=C,842.0
C1CCC1,703.0
C1CCC(=O)CC1,945.5
C1CCC=CC1,803.4
C1CCC(C1)O,948.8
C1CCC(=O)C1,948.7
C1CC1,790.0
CC(=O)C1CC1,893.8
CC,499.1
C=C,482.0
CCOC,711.0
CCC1CCCCCC1,814.8
C1CC2=CC=CC=C2C1,946.0
CC(=C)C1=CC=CC=C1,909.5
CC(C)C1CCCC1,776.56
CC(=C)C=O,845.0
COC=O,1185.0
CCCC1CCCC1,775.25
CC(=CCO)C,868.0
CC=C,575.0
CCCC=CCCC,718.4
C1=CC=CC=C1,873.6
CCC(C)OC(=O)CC,863.0
CCC(C)C1=CC=CC=C1,859.8
CCCC=O,817.0
CCCCOC=O,889.0
CCCCOC(=O)CCC(=O)C,973.5
CCCCOC(=O)CC,882.0
CCCC=CC,681.3
CCCCC=CCC,724.8
CC=CC1=CC=CC=C1,910.7
C1CCCCCC1,809.8
C1CCC=CCC1,826.1
C1CCCCC1,779.0
C1CCCCCCC1,831.5
C1CCCC=CCC1,850.0
C1CCCC1,740.45
C1CC=CC1,772.0
CCCCOCCCC,768.4
CCOCC,704.8
CC(C)OC(C)C,725.8
COC,947.7
CCO,785.3
CCOC1=CC=CC=C1,967.0
CCOC(=O)C(C)(C)C,855.5
CCCC(=O)OCC,866.0
CCOC=O,917.0
CCOC(=O)C(C)C,869.0
CCOC(=O)CC(C)C,864.0
CCOC(=O)CCC(=O)C,1013.46
CCCCC(=O)OCC,874.0
CCC1=CC=CC=C1,862.6
CCC1CCCCC1,787.92
CCC1CCCC1,767.2
CC1CCC(=O)O1,1050.0
COC1=CC=CC=C1O,1129.3
C1C=CC2=CC=CC=C21,998.0
CC(C)COC=O,876.0
CCC(=O)OCC(C)C,879.0
CC(C)CCOC=O,882.0
CCCC(=O)OC(C)C,876.0
CC(C)OC=O,872.8
CC(C)C1=CC=CC=C1,856.6
CC1=CCC(CC1)C(=C)C,839.0
