test_type,result_id,test_id,peak_pressure_bar,peak_HRR_J_deg,max_average_temp_K,NOx_ppm,CO_ppm,THC_ppm,particulate_mass_mg_m3,fuel_id,engine_id,injection_timing_CAD_BTDC,ignition_delay_CAD,indicated_thermal_efficiency,injection_duration,engine_type,engine_speed,injection_pressure_bar,IMEP_bar,fuel_name,fuel_type,feedstock_type,is_biodiesel,source_id,boiling_point,melting_point,flash_point_C,density_kg_m3,dynamic_viscosity_at_20,dynamic_viscosity_at_60,lower_heating_value_MJ_kg,cetane_number,ignition_timing_CAD_BTDC
constant_injection_timing,1,1,,,,,,,,1,1,7.5,3.7,35.41,747.0,fd-rh diesel,1200.0,450.0,4.0,methyl oleate,fatty acid ester,,Y,1,600.3,252.94,,,,2.638,37.42,62.3,
constant_injection_timing,2,2,,,,,,,,2,1,7.5,6.1,34.29,820.0,fd-rh diesel,1200.0,450.0,4.0,methyl stearate,fatty acid ester,,Y,1,601.8,310.81,,,,3.2252,37.64,88.9,
constant_injection_timing,3,3,,,,,,,,3,1,7.5,4.4,35.16,816.0,fd-rh diesel,1200.0,450.0,4.0,ethyl stearate,fatty acid ester,,Y,1,611.5,306.13,,,,3.3073,37.79,86.83,
constant_injection_timing,4,4,,,,,,,,4,1,7.5,4.3,35.31,804.0,fd-rh diesel,1200.0,450.0,4.0,n-propyl stearate,fatty acid ester,,Y,1,620.8,301.25,,,,4.406,37.72,80.4,
constant_injection_timing,5,5,,,,,,,,5,1,7.5,4.5,35.35,816.0,fd-rh diesel,1200.0,450.0,4.0,n-butyl stearate,fatty acid ester,,Y,1,629.6,298.78,,,,,38.4,86.3,
constant_injection_timing,6,6,,,,,,,,6,1,7.5,4.5,34.9,843.0,fd-rh diesel,1200.0,450.0,4.0,iso-propyl stearate,fatty acid ester,,Y,1,616.1,301.55,,,,4.355,37.96,96.5,
constant_injection_timing,7,7,,,,,,,,7,1,7.5,4.5,35.26,847.0,fd-rh diesel,1200.0,450.0,4.0,iso-butyl stearate,fatty acid ester,,Y,1,625.2,302.9,,,,,38.06,99.3,
constant_injection_timing,8,8,,76.0,,,,,,8,1,7.5,4.5,35.53,820.0,fd-rh diesel,1200.0,450.0,4.0,tert-butyl stearate,fatty acid ester,,Y,1,622.5,305.05,,,,,38.1,,
constant_injection_timing,9,9,,60.8,,503.9,,,0.21,9,1,7.5,4.9,34.82,862.0,fd-rh diesel,1200.0,450.0,4.0,n-octadecane,n-alkane,,N,1,589.3,301.65,,,,2.062,43.9,106.3,
constant_injection_timing,10,10,,90.0,,457.1,,,0.2,10,1,7.5,4.7,33.74,725.0,fd-rh diesel,1200.0,450.0,4.0,reference fossil diesel,diesel,,N,1,542.0,,,,,,43.14,51.7,
constant_injection_timing,11,11,,67.8,,506.7,,,0.14,11,1,7.5,4.5,34.58,804.0,fd-rh diesel,1200.0,450.0,4.0,methyl oleate,fatty acid ester,,Y,1,600.3,252.94,,,,2.638,37.42,62.3,
constant_injection_timing,12,12,,67.3,,444.7,,,0.14,12,1,7.5,3.7,35.98,840.0,fd-rh diesel,1200.0,450.0,4.0,methyl stearate,fatty acid ester,,Y,1,601.8,310.81,,,,3.2252,37.64,88.9,
constant_injection_timing,13,13,,47.9,,,,,,13,1,7.5,4.3,35.15,886.0,fd-rh diesel,1200.0,450.0,4.0,tert-butyl stearate,fatty acid ester,,Y,1,622.5,305.05,,,,,38.1,,
constant_injection_timing,14,14,,87.2,,1143.0,727.3,341.0,,14,2,7.5,9.5,,597.0,fd-rh diesel,1200.0,700.0,4.0,geraniol,terpene,,Y,2,503.6,258.2,,880.1,8.28,2.85,,,
