Species,Formula,Original YSI,Original Scale,Species Category,Unified YSI,Unified YSI Error,SMILES_file1,measured (D)CN,measurement type
1-METHYLNAPHTHALENE,C11H10,135,high soot,aromatic,649.1,24.7,Cc1cccc2ccccc12,-1.333333333,Other
2-METHYLNAPHTHALENE,C11H10,135,high soot,aromatic,649.1,24.7,Cc1ccc2ccccc2c1,6,Other
BIPHENYL,C12H10,128,high soot,aromatic,612.5,22.9,c1ccc(-c2ccccc2)cc1,18,Other
DIPHENYLMETHANE,C13H12,128,high soot,aromatic,612.5,22.9,c1ccc(Cc2ccccc2)cc1,11,Other
NAPHTHALENE,C10H8,100,high soot,aromatic,466.1,8.4,c1ccc2ccccc2c1,22,Other
TETRALIN,C10H12,75.1,high soot,aromatic,336,13.4,c1ccc2c(c1)CCCC2,13.2,IQT-DCN
N-TETRADECYLBENZENE,C20H34,74,high soot,aromatic,330.3,20.2,CCCCCCCCCCCCCCc1ccccc1,72,Other
"1,3-DIETHYLBENZENE",C10H14,72.2,high soot,aromatic,320.9,12.8,CCc1cccc(CC)c1,5,Other
"1,2,3-TRIMETHYLBENZENE",C9H12,71.1,high soot,aromatic,315.1,12.3,Cc1cccc(C)c1C,10.1,IQT-DCN
"1,3,5-TRIMETHYLBENZENE",C9H12,70.3,high soot,aromatic,310.9,12.3,Cc1cc(C)cc(C)c1,8,IQT-DCN
"1,2,4-TRIMETHYLBENZENE",C9H12,69.8,high soot,aromatic,308.3,12.2,Cc1ccc(C)c(C)c1,8.9,IQT-DCN
N-DODECYLBENZENE,C18H30,69,high soot,aromatic,304.1,12.2,CCCCCCCCCCCCc1ccccc1,68,Other
N-NONYLBENZENE,C15H24,65,high soot,aromatic,283.2,11.6,CCCCCCCCCc1ccccc1,50,Other
N-HEPTYLBENZENE,C13H20,60,high soot,aromatic,257.1,10.5,CCCCCCCc1ccccc1,34.66666667,Other
N-OCTYLBENZENE,C14H22,60,high soot,aromatic,257.1,10.5,CCCCCCCCc1ccccc1,37.5,Other
N-PENTYLBENZENE,C11H16,59.6,high soot,aromatic,255,10.5,CCCCCc1ccccc1,11.66666667,Other
N-HEXYLBENZENE,C12H18,58,high soot,aromatic,246.7,9.9,CCCCCCc1ccccc1,26,Other
N-BUTYLBENZENE,C10H14,57.7,high soot,aromatic,245.1,9.9,CCCCc1ccccc1,12.45,IQT-DCN
"1,3-DIMETHYLBENZENE",C8H10,53.2,high soot,aromatic,221.6,9.3,Cc1cccc(C)c1,7,IQT-DCN
"1,4-DIMETHYLBENZENE",C8H10,51.2,high soot,aromatic,211.1,8.8,Cc1ccc(C)cc1,6.2,IQT-DCN
"1,2-DIMETHYLBENZENE",C8H10,50,high soot,aromatic,204.8,8.8,Cc1ccccc1C,8.3,IQT-DCN
TOLUENE,C7H8,43.5,high soot,aromatic,170.9,7.7,Cc1ccccc1,6,IQT-DCN
BICYCLOHEXYL,C12H22,30,high soot,aromatic,100.3,3.5,C1CCC(C2CCCCC2)CC1,50,Other
BENZENE,C6H6,30,high soot,aromatic,100.3,5.8,c1ccccc1,4.825,Other
1-DODECENE,C12H24,93,low soot,alkenes,90.3,2.6,C=CCCCCCCCCCC,56.8,IQT-DCN
1-DECENE,C10H20,69,low soot,alkenes,74.8,2.2,C=CCCCCCCCC,49.1,IQT-DCN
N-DODECANE,C12H26,64.2,low soot,linear alkanes,71.7,2.1,CCCCCCCCCCCC,73.45,IQT-DCN
N-UNDECANE,C11H24,53.3,low soot,linear alkanes,64.7,2,CCCCCCCCCCC,81,Other
1-NONENE,C9H18,52.8,low soot,alkenes,64.4,2,C=CCCCCCCC,51,Other
CYCLOHEXENE,C6H10,22.7,high soot,aliphatic,62.2,5.2,C1=CCCCC1,18.1,IQT-DCN
4-METHYL-1-CYCLOHEXENE,C7H12,,unified scale,cyclic alkenes,61.27218258,3,CC1CC=CCC1,52,Other
ETHYLCYCLOHEXANE,C8H16,47.1,low soot,cyclic alkanes,60.7,2,CCC1CCCCC1,35.8,IQT-DCN
CYCLOOCTANE,C8H16,42.4,low soot,cyclic alkanes,57.7,2,C1CCCCCCC1,22.3,IQT-DCN
N-DECANE,C10H22,41.7,low soot,linear alkanes,57.2,2,CCCCCCCCCC,66.35,IQT-DCN
