Feature_Name,Feature_Type,Importance,Original_Index
MinPartialCharge,Descriptor,0.14915330683907435,2055
SMR_VSA1,Descriptor,0.11756312828010955,2089
Morgan_Bit_1380,Morgan,0.11715581384902629,1380
Morgan_Bit_1873,Morgan,0.10343627721972397,1873
MaxPartialCharge,Descriptor,0.05744265986184682,2054
PEOE_VSA1,Descriptor,0.04892803957679365,2075
MaxEStateIndex,Descriptor,0.0370806408841803,2048
RingCount,Descriptor,0.02839361285944343,2136
HallKierAlpha,Descriptor,0.025321684829396562,2071
SlogP_VSA3,Descriptor,0.021629618340022902,2103
BCUT2D_MRHI,Descriptor,0.020892181364653428,2064
VSA_EState8,Descriptor,0.020113205666765086,2126
BertzCT,Descriptor,0.015579667879136748,2067
Morgan_Bit_926,Morgan,0.014279633566583723,926
Morgan_Bit_695,Morgan,0.011196433300371535,695
MolLogP,Descriptor,0.009781732817612958,2137
EState_VSA2,Descriptor,0.00839060761217694,2111
SMR_VSA5,Descriptor,0.008329768005161909,2094
VSA_EState1,Descriptor,0.007839114366395627,2119
MolWt,Descriptor,0.007739285485909053,2052
Morgan_Bit_294,Morgan,0.007610136289429156,294
FractionCSP3,Descriptor,0.00717787203765926,2128
VSA_EState3,Descriptor,0.006997086836636255,2121
PEOE_VSA9,Descriptor,0.006858617328546124,2088
Chi4n,Descriptor,0.006384132607835599,2070
Morgan_Bit_1057,Morgan,0.006156414278848284,1057
MinEStateIndex,Descriptor,0.005919519027899074,2049
NumAliphaticRings,Descriptor,0.005604186613861924,2131
Chi3n,Descriptor,0.004967023394622863,2069
EState_VSA9,Descriptor,0.00450883108785849,2118
Morgan_Bit_1750,Morgan,0.004478688670033256,1750
SMR_VSA7,Descriptor,0.004470238143777023,2096
NumAliphaticCarbocycles,Descriptor,0.004416750183437479,2129
BCUT2D_MRLOW,Descriptor,0.004090611387362986,2065
PEOE_VSA6,Descriptor,0.0036429219225243697,2085
VSA_EState6,Descriptor,0.0035267229638914818,2124
SMR_VSA6,Descriptor,0.0032090808240607988,2095
EState_VSA1,Descriptor,0.0032047105393507107,2108
VSA_EState7,Descriptor,0.0030930453831722084,2125
Ipc,Descriptor,0.0025533904943986,2072
BalabanJ,Descriptor,0.002424934663687638,2066
MinAbsEStateIndex,Descriptor,0.0023469131290644297,2050
PEOE_VSA8,Descriptor,0.002240395829611941,2087
Morgan_Bit_1911,Morgan,0.0020935929441699926,1911
Morgan_Bit_794,Morgan,0.0020655573452857895,794
EState_VSA6,Descriptor,0.002047202609406793,2115
PEOE_VSA7,Descriptor,0.0020225813876601833,2086
SMR_VSA10,Descriptor,0.0019935495280162282,2090
Morgan_Bit_283,Morgan,0.001993140317693726,283
Morgan_Bit_222,Morgan,0.0015716133349454246,222
Morgan_Bit_650,Morgan,0.0015499450414643292,650
NumSaturatedCarbocycles,Descriptor,0.0015246821723310488,2133
BCUT2D_CHGHI,Descriptor,0.0015025392941068944,2060
Kappa3,Descriptor,0.001489034493064907,2074
fr_bicyclic,Descriptor,0.0014209622609642335,2169
EState_VSA3,Descriptor,0.0013377385192095306,2112
qed,Descriptor,0.00131571088784525,2051
BCUT2D_MWLOW,Descriptor,0.0012885748998185491,2059
VSA_EState5,Descriptor,0.0012852430682709641,2123
BCUT2D_CHGLO,Descriptor,0.001274640458718271,2061
BCUT2D_LOGPHI,Descriptor,0.0012586091105559378,2062
EState_VSA8,Descriptor,0.0012385411008917454,2117
BCUT2D_LOGPLOW,Descriptor,0.0012158209797810734,2063
PEOE_VSA10,Descriptor,0.0011994362477876644,2076
Morgan_Bit_694,Morgan,0.0011371699007620426,694
Kappa2,Descriptor,0.0011252536765952307,2073
NumSaturatedRings,Descriptor,0.001117465681824817,2135
FpDensityMorgan1,Descriptor,0.0011109664875350476,2056
EState_VSA7,Descriptor,0.0011071282673533796,2116
VSA_EState9,Descriptor,0.0010464851737247193,2127
EState_VSA5,Descriptor,0.0010072693991552766,2114
EState_VSA4,Descriptor,0.0009666748416975672,2113
Morgan_Bit_1472,Morgan,0.0009574339374478847,1472
Chi2n,Descriptor,0.000935659956366014,2068
SlogP_VSA8,Descriptor,0.0008934153823652113,2106
Morgan_Bit_1028,Morgan,0.0008922318486634626,1028
Morgan_Bit_80,Morgan,0.0008715312231348023,80
EState_VSA10,Descriptor,0.0008610168429511388,2109
PEOE_VSA5,Descriptor,0.0008577802660479959,2084
Morgan_Bit_807,Morgan,0.0008178565423958491,807
PEOE_VSA2,Descriptor,0.0007192341425369375,2081
Morgan_Bit_1366,Morgan,0.0006982932034086958,1366
Morgan_Bit_114,Morgan,0.000673301664670387,114
Morgan_Bit_841,Morgan,0.0006272469643869191,841
Morgan_Bit_591,Morgan,0.0005949458058300769,591
PEOE_VSA14,Descriptor,0.0005566086925523921,2080
fr_ketone,Descriptor,0.0005565630560252625,2181
FpDensityMorgan2,Descriptor,0.0005516793605058383,2057
VSA_EState4,Descriptor,0.0004839895108896431,2122
Morgan_Bit_1391,Morgan,0.00047894432409721876,1391
SMR_VSA4,Descriptor,0.0004767951065806471,2093
Morgan_Bit_392,Morgan,0.0004651581609037804,392
FpDensityMorgan3,Descriptor,0.0004608911015198089,2058
Morgan_Bit_1152,Morgan,0.0003661778138632929,1152
fr_allylic_oxid,Descriptor,0.0003424159843973253,2160
Morgan_Bit_1,Morgan,0.0003383877559442541,1
Morgan_Bit_1088,Morgan,0.0003269058394928295,1088
SlogP_VSA4,Descriptor,0.00030890405757752004,2104
NumSaturatedHeterocycles,Descriptor,0.00030304452327413353,2134
PEOE_VSA11,Descriptor,0.0002922315832243402,2077
Morgan_Bit_1005,Morgan,0.0002691682249743317,1005
SMR_VSA9,Descriptor,0.0002688423390389541,2098
Morgan_Bit_389,Morgan,0.0002544885376823389,389
Morgan_Bit_1017,Morgan,0.0002272189513966176,1017
Morgan_Bit_1781,Morgan,0.00022052466614820853,1781
Morgan_Bit_674,Morgan,0.00021390377525607048,674
Morgan_Bit_1143,Morgan,0.0002034020839795745,1143
Morgan_Bit_1199,Morgan,0.0002005839218531905,1199
Morgan_Bit_252,Morgan,0.00019358136646992907,252
Morgan_Bit_1309,Morgan,0.00018538346312688326,1309
Morgan_Bit_656,Morgan,0.00017715270861294157,656
fr_unbrch_alkane,Descriptor,0.00017440958387881248,2209
NumAliphaticHeterocycles,Descriptor,0.00017173523707867907,2130
Morgan_Bit_1992,Morgan,0.00016588562305653383,1992
Morgan_Bit_1019,Morgan,0.00014384859680483425,1019
Morgan_Bit_1917,Morgan,0.00013333011193784007,1917
Morgan_Bit_1236,Morgan,0.0001315450633013121,1236
Morgan_Bit_2,Morgan,0.00012913519481514845,2
Morgan_Bit_1738,Morgan,0.0001215451760554376,1738
Morgan_Bit_147,Morgan,0.0001189792903670758,147
Morgan_Bit_1708,Morgan,0.0001036423632843098,1708
PEOE_VSA3,Descriptor,0.0001031004606753268,2082
Morgan_Bit_473,Morgan,0.0001022173292032256,473
Morgan_Bit_1399,Morgan,9.989535669614683e-05,1399
Morgan_Bit_1056,Morgan,8.210856601962354e-05,1056
SlogP_VSA11,Descriptor,8.128607808895062e-05,2101
Morgan_Bit_118,Morgan,7.534391742737653e-05,118
Morgan_Bit_1238,Morgan,7.376857034497153e-05,1238
Morgan_Bit_1325,Morgan,7.340308923498052e-05,1325
Morgan_Bit_13,Morgan,7.322480719833351e-05,13
Morgan_Bit_1754,Morgan,6.767304966116865e-05,1754
Morgan_Bit_1985,Morgan,6.673441394819232e-05,1985
fr_aryl_methyl,Descriptor,5.705699676496115e-05,2164
Morgan_Bit_1550,Morgan,5.668632593963545e-05,1550
Morgan_Bit_1369,Morgan,5.530041265440493e-05,1369
Morgan_Bit_1859,Morgan,5.450125177688592e-05,1859
Morgan_Bit_1847,Morgan,5.4119307017379755e-05,1847
Morgan_Bit_1645,Morgan,5.3140797061466826e-05,1645
Morgan_Bit_1722,Morgan,5.121703944615257e-05,1722
Morgan_Bit_1385,Morgan,5.0898949609910155e-05,1385
Morgan_Bit_1148,Morgan,4.943482713264517e-05,1148
Morgan_Bit_890,Morgan,4.608871404045375e-05,890
Morgan_Bit_1649,Morgan,4.603374626764812e-05,1649
Morgan_Bit_1564,Morgan,3.732573068382264e-05,1564
Morgan_Bit_1257,Morgan,3.2191824318998616e-05,1257
