Feature_Name,Feature_Type,Importance,Original_Index
MolWt,Descriptor,0.26585885344822185,2052
BertzCT,Descriptor,0.15652768122650432,2068
PEOE_VSA7,Descriptor,0.05645909580033495,2084
RingCount,Descriptor,0.05350741599899257,2125
VSA_EState3,Descriptor,0.051772281626184274,2115
PEOE_VSA6,Descriptor,0.0452998971135159,2083
FpDensityMorgan1,Descriptor,0.04147941558058186,2056
BCUT2D_CHGLO,Descriptor,0.024100930202072407,2062
Kappa2,Descriptor,0.023274710003557807,2071
fr_Al_OH,Descriptor,0.023229966679517104,2127
BCUT2D_LOGPHI,Descriptor,0.019669980950288834,2063
Ipc,Descriptor,0.01956389309865264,2070
Morgan_Bit_222,Morgan,0.019289364545430898,222
BCUT2D_CHGHI,Descriptor,0.01894254392558569,2061
EState_VSA6,Descriptor,0.012879777620087733,2110
EState_VSA5,Descriptor,0.00966721363414772,2109
BCUT2D_MWLOW,Descriptor,0.009337463688568881,2060
NumAliphaticCarbocycles,Descriptor,0.008943324325124022,2122
Morgan_Bit_1143,Morgan,0.006545657553805202,1143
BalabanJ,Descriptor,0.006365437343976589,2067
fr_bicyclic,Descriptor,0.0057220481907595,2155
Morgan_Bit_1283,Morgan,0.0053966478081741015,1283
VSA_EState5,Descriptor,0.005295991312124251,2117
qed,Descriptor,0.005259279748169822,2051
SMR_VSA4,Descriptor,0.0045214783045717044,2091
Morgan_Bit_1380,Morgan,0.004103803267640607,1380
PEOE_VSA1,Descriptor,0.00396426079329583,2073
BCUT2D_LOGPLOW,Descriptor,0.003907328430595992,2064
EState_VSA1,Descriptor,0.0033885841690355703,2103
Kappa3,Descriptor,0.0031248695445145656,2072
Morgan_Bit_807,Morgan,0.002979113680049667,807
HallKierAlpha,Descriptor,0.002903077437783048,2069
Morgan_Bit_80,Morgan,0.0028261769312062446,80
EState_VSA9,Descriptor,0.002768752222616151,2113
Morgan_Bit_276,Morgan,0.002720365357112698,276
Morgan_Bit_1144,Morgan,0.002362308968462113,1144
Morgan_Bit_473,Morgan,0.002258940264747934,473
BCUT2D_MWHI,Descriptor,0.0021682207446257953,2059
VSA_EState8,Descriptor,0.0020671633175762057,2119
Morgan_Bit_1911,Morgan,0.0020665411761842316,1911
Morgan_Bit_1325,Morgan,0.0018612586450783553,1325
