Feature_Name,Feature_Type,Importance,Original_Index
MinPartialCharge,Descriptor,0.3471520829869134,2055
SMR_VSA1,Descriptor,0.14013173092256295,2089
MaxPartialCharge,Descriptor,0.0951874887820213,2054
MaxEStateIndex,Descriptor,0.06886806620411469,2048
PEOE_VSA1,Descriptor,0.05592300109428484,2075
MolLogP,Descriptor,0.04663219400348712,2137
PEOE_VSA6,Descriptor,0.022363485122526176,2085
BCUT2D_MRLOW,Descriptor,0.019963469773533027,2065
Morgan_Bit_650,Morgan,0.01948477347915084,650
Morgan_Bit_591,Morgan,0.01393287154008216,591
SlogP_VSA3,Descriptor,0.009375367178257078,2103
Morgan_Bit_1380,Morgan,0.00859493491196927,1380
VSA_EState8,Descriptor,0.008330043419016787,2126
SMR_VSA5,Descriptor,0.008327449729596004,2094
Morgan_Bit_1444,Morgan,0.007750509781613155,1444
VSA_EState7,Descriptor,0.006763502820652359,2125
BCUT2D_MWLOW,Descriptor,0.006757494688432345,2059
Morgan_Bit_695,Morgan,0.006229816423804019,695
PEOE_VSA7,Descriptor,0.005077758666555389,2086
fr_C_O_noCOO,Descriptor,0.005063415973839429,2145
SMR_VSA7,Descriptor,0.005043303356840663,2096
BCUT2D_CHGLO,Descriptor,0.004847476457322521,2061
MolWt,Descriptor,0.003787510354306832,2052
EState_VSA4,Descriptor,0.00366092660560419,2113
EState_VSA8,Descriptor,0.003650869636018988,2117
HallKierAlpha,Descriptor,0.0035011942162348647,2071
EState_VSA9,Descriptor,0.0030890172811039993,2118
VSA_EState6,Descriptor,0.00301516888775418,2124
Chi2n,Descriptor,0.0024619069173130023,2068
Morgan_Bit_1143,Morgan,0.0023411684189263092,1143
VSA_EState1,Descriptor,0.002330976166907354,2119
EState_VSA5,Descriptor,0.002283540266563107,2114
BCUT2D_LOGPHI,Descriptor,0.0022689350760356332,2062
EState_VSA7,Descriptor,0.0022351731599272893,2116
FractionCSP3,Descriptor,0.0022065171170273248,2128
PEOE_VSA14,Descriptor,0.002070377837820153,2080
Chi3n,Descriptor,0.0020511771349400777,2069
VSA_EState5,Descriptor,0.0020345293344730332,2123
Morgan_Bit_1873,Morgan,0.0019774841538057054,1873
Kappa2,Descriptor,0.0019385351511706631,2073
SMR_VSA10,Descriptor,0.0019104275457218012,2090
Morgan_Bit_1472,Morgan,0.001663613211941535,1472
Morgan_Bit_794,Morgan,0.0015899036753644774,794
BCUT2D_LOGPLOW,Descriptor,0.0015362248440026947,2063
RingCount,Descriptor,0.00149757913729353,2136
Morgan_Bit_1057,Morgan,0.0014145405728040524,1057
PEOE_VSA5,Descriptor,0.0012730204820211861,2084
EState_VSA1,Descriptor,0.0012557958140624185,2108
Morgan_Bit_294,Morgan,0.0012476601924749885,294
SMR_VSA6,Descriptor,0.0012159757607948722,2095
Chi4n,Descriptor,0.0010879922928778555,2070
fr_unbrch_alkane,Descriptor,0.0010779147887549209,2209
MinEStateIndex,Descriptor,0.0010268050375050934,2049
EState_VSA10,Descriptor,0.0009494711337964059,2109
EState_VSA2,Descriptor,0.0009271718168381603,2111
BCUT2D_CHGHI,Descriptor,0.0008673351500666957,2060
Kappa3,Descriptor,0.0008173683455104017,2074
Morgan_Bit_656,Morgan,0.0007525058819469045,656
Morgan_Bit_926,Morgan,0.0007342932348176973,926
FpDensityMorgan1,Descriptor,0.0007185339458456959,2056
PEOE_VSA2,Descriptor,0.0007153630595765548,2081
VSA_EState9,Descriptor,0.0006598748203401291,2127
NumAliphaticRings,Descriptor,0.0006380174805912841,2131
PEOE_VSA9,Descriptor,0.000610711140135329,2088
qed,Descriptor,0.0006097220102998678,2051
BCUT2D_MRHI,Descriptor,0.0006017871504335549,2064
Morgan_Bit_389,Morgan,0.0005999255009463772,389
VSA_EState3,Descriptor,0.0005519674112382242,2121
BertzCT,Descriptor,0.0005404813295675846,2067
BalabanJ,Descriptor,0.0005282521558478734,2066
NumAliphaticCarbocycles,Descriptor,0.0005281589586258394,2129
FpDensityMorgan3,Descriptor,0.0005258156943053069,2058
MinAbsEStateIndex,Descriptor,0.000507529607052495,2050
Morgan_Bit_360,Morgan,0.0004899070230466807,360
Morgan_Bit_1028,Morgan,0.00044998184032899304,1028
EState_VSA6,Descriptor,0.00044945606698385237,2115
FpDensityMorgan2,Descriptor,0.0004297709928335255,2057
Morgan_Bit_1914,Morgan,0.00042302995315353364,1914
PEOE_VSA13,Descriptor,0.0004100324413244466,2079
Morgan_Bit_1750,Morgan,0.00039957216900574506,1750
Morgan_Bit_841,Morgan,0.00035843241658263547,841
EState_VSA3,Descriptor,0.0003310380493021919,2112
Morgan_Bit_13,Morgan,0.00032068677085258634,13
Morgan_Bit_1911,Morgan,0.00029853030887055557,1911
PEOE_VSA8,Descriptor,0.000292093793276451,2087
fr_Al_OH,Descriptor,0.00028271744267797494,2139
Morgan_Bit_674,Morgan,0.00028181325040674797,674
Ipc,Descriptor,0.00028054902780991057,2072
Morgan_Bit_1005,Morgan,0.00027361419874895413,1005
PEOE_VSA10,Descriptor,0.0002649724526803722,2076
fr_bicyclic,Descriptor,0.0002585631373541595,2169
NumAliphaticHeterocycles,Descriptor,0.00025649188687176875,2130
Morgan_Bit_807,Morgan,0.000235201365309852,807
fr_Al_COO,Descriptor,0.00022247437615199018,2138
fr_allylic_oxid,Descriptor,0.0002148403557497215,2160
Morgan_Bit_80,Morgan,0.00021178178341818015,80
Morgan_Bit_1956,Morgan,0.00018684348672357075,1956
NumSaturatedRings,Descriptor,0.000184884931723717,2135
Morgan_Bit_1088,Morgan,0.00017279069292118026,1088
SlogP_VSA4,Descriptor,0.00015889129305630696,2104
fr_term_acetylene,Descriptor,0.00010934779520283494,2204
Morgan_Bit_1,Morgan,9.427669948839962e-05,1
fr_ester,Descriptor,9.321932083813933e-05,2173
Morgan_Bit_1855,Morgan,9.130354114069954e-05,1855
Morgan_Bit_1325,Morgan,8.422664556835666e-05,1325
Morgan_Bit_1992,Morgan,7.857510509043048e-05,1992
SMR_VSA4,Descriptor,7.721093750682571e-05,2093
Morgan_Bit_915,Morgan,6.691071180585149e-05,915
Morgan_Bit_541,Morgan,6.143555225875878e-05,541
Morgan_Bit_392,Morgan,6.12590822387488e-05,392
Morgan_Bit_1017,Morgan,6.110042350123544e-05,1017
Morgan_Bit_1199,Morgan,5.9254306687998516e-05,1199
Morgan_Bit_974,Morgan,5.907369637947503e-05,974
Morgan_Bit_1019,Morgan,5.8072767788410245e-05,1019
SlogP_VSA8,Descriptor,5.5156418861551975e-05,2106
PEOE_VSA3,Descriptor,5.374847781670658e-05,2082
Morgan_Bit_1487,Morgan,4.968823883150254e-05,1487
Morgan_Bit_1267,Morgan,4.9532778380519205e-05,1267
Morgan_Bit_147,Morgan,4.879573658823204e-05,147
Morgan_Bit_222,Morgan,4.604659823382913e-05,222
Morgan_Bit_1366,Morgan,4.523646358344194e-05,1366
Morgan_Bit_890,Morgan,4.443063651116233e-05,890
Morgan_Bit_1737,Morgan,4.181739525003096e-05,1737
Morgan_Bit_283,Morgan,4.084076425202859e-05,283
Morgan_Bit_1238,Morgan,3.9251165164736164e-05,1238
Morgan_Bit_1734,Morgan,3.3816627069446054e-05,1734
VSA_EState4,Descriptor,2.7494603909892893e-05,2122
Morgan_Bit_1257,Morgan,2.738989139598692e-05,1257
Morgan_Bit_1564,Morgan,2.6651268129464957e-05,1564
Morgan_Bit_1917,Morgan,2.4907842401380298e-05,1917
Morgan_Bit_694,Morgan,2.339815891757897e-05,694
Morgan_Bit_1249,Morgan,2.3125492171596304e-05,1249
fr_aldehyde,Descriptor,2.1937448347385538e-05,2157
Morgan_Bit_1440,Morgan,2.1662834565642722e-05,1440
Morgan_Bit_950,Morgan,1.9336597904084596e-05,950
Morgan_Bit_1184,Morgan,1.904456728083019e-05,1184
Morgan_Bit_473,Morgan,1.699535156885124e-05,473
NumSaturatedCarbocycles,Descriptor,1.2675081486990547e-05,2133
Morgan_Bit_118,Morgan,1.1567270274442292e-05,118
Morgan_Bit_1386,Morgan,1.1060413952447159e-05,1386
Morgan_Bit_1287,Morgan,1.0454978076370592e-05,1287
Morgan_Bit_1147,Morgan,7.697938095575298e-06,1147
Morgan_Bit_114,Morgan,6.951937593791489e-06,114
fr_aryl_methyl,Descriptor,6.945419609756488e-06,2164
Morgan_Bit_227,Morgan,6.9127721095390954e-06,227
Morgan_Bit_1035,Morgan,6.338647814838564e-06,1035
Morgan_Bit_1645,Morgan,5.96894702261762e-06,1645
Morgan_Bit_1491,Morgan,5.469902604793772e-06,1491
Morgan_Bit_691,Morgan,5.135659896217701e-06,691
Morgan_Bit_978,Morgan,4.656522617748858e-06,978
Morgan_Bit_1128,Morgan,4.005840087758527e-06,1128
Morgan_Bit_401,Morgan,3.823237798288874e-06,401
fr_ketone,Descriptor,3.6140131785425375e-06,2182
Morgan_Bit_1454,Morgan,1.858287056288404e-06,1454
Morgan_Bit_718,Morgan,1.706714901710097e-06,718
Morgan_Bit_2,Morgan,9.55703822113802e-07,2
Morgan_Bit_1738,Morgan,3.5892482827086825e-07,1738
Morgan_Bit_1391,Morgan,3.2412146429335126e-07,1391
Morgan_Bit_1173,Morgan,0.0,1173
Morgan_Bit_1034,Morgan,0.0,1034
Morgan_Bit_1421,Morgan,0.0,1421
Morgan_Bit_1859,Morgan,0.0,1859
Morgan_Bit_1258,Morgan,0.0,1258
Morgan_Bit_585,Morgan,0.0,585
Morgan_Bit_671,Morgan,0.0,671
Morgan_Bit_474,Morgan,0.0,474
Morgan_Bit_787,Morgan,0.0,787
Morgan_Bit_1264,Morgan,0.0,1264
Morgan_Bit_54,Morgan,0.0,54
Morgan_Bit_208,Morgan,0.0,208
Morgan_Bit_1455,Morgan,0.0,1455
Morgan_Bit_1952,Morgan,0.0,1952
Morgan_Bit_1954,Morgan,0.0,1954
Morgan_Bit_1254,Morgan,0.0,1254
Morgan_Bit_2000,Morgan,0.0,2000
Morgan_Bit_813,Morgan,0.0,813
Morgan_Bit_1978,Morgan,0.0,1978
Morgan_Bit_556,Morgan,0.0,556
Morgan_Bit_1577,Morgan,0.0,1577
Morgan_Bit_1373,Morgan,0.0,1373
Morgan_Bit_248,Morgan,0.0,248
Morgan_Bit_1872,Morgan,0.0,1872
Morgan_Bit_976,Morgan,0.0,976
Morgan_Bit_784,Morgan,0.0,784
Morgan_Bit_1145,Morgan,0.0,1145
Morgan_Bit_1420,Morgan,0.0,1420
Morgan_Bit_322,Morgan,0.0,322
Morgan_Bit_2004,Morgan,0.0,2004
Morgan_Bit_1831,Morgan,0.0,1831
Morgan_Bit_893,Morgan,0.0,893
