Feature_Name,Feature_Type,Importance,Original_Index
Chi3n,Descriptor,0.14745315809661355,2070
MolLogP,Descriptor,0.11414618276734746,2140
Chi2n,Descriptor,0.10035786674060095,2069
Chi4n,Descriptor,0.08845681382200027,2071
VSA_EState7,Descriptor,0.06719410519441521,2126
MolWt,Descriptor,0.04714650202247041,2052
SMR_VSA5,Descriptor,0.0373562989704129,2094
BertzCT,Descriptor,0.033095579396722426,2068
Morgan_Bit_1873,Morgan,0.03125871849008434,1873
Kappa2,Descriptor,0.030552759013543433,2074
PEOE_VSA6,Descriptor,0.029538348833802693,2086
MinPartialCharge,Descriptor,0.022638439327191697,2055
SMR_VSA7,Descriptor,0.02104946303002559,2096
SlogP_VSA2,Descriptor,0.017322332393017878,2103
Ipc,Descriptor,0.012619971596924531,2073
SMR_VSA1,Descriptor,0.012542034986115898,2090
MaxEStateIndex,Descriptor,0.008266435066315244,2048
Morgan_Bit_294,Morgan,0.007404107729829879,294
NumAromaticRings,Descriptor,0.006647078057595406,2135
VSA_EState5,Descriptor,0.006149704691140728,2124
BCUT2D_MRLOW,Descriptor,0.0059036102553861845,2066
SMR_VSA9,Descriptor,0.0058622270406565235,2098
RingCount,Descriptor,0.005749183274694637,2139
PEOE_VSA7,Descriptor,0.0056162776814432805,2087
BCUT2D_MWHI,Descriptor,0.00519378854075877,2059
Kappa3,Descriptor,0.005070688417789623,2075
EState_VSA8,Descriptor,0.004571266173053826,2118
VSA_EState6,Descriptor,0.004318329199272862,2125
SlogP_VSA4,Descriptor,0.00430272100315645,2105
EState_VSA5,Descriptor,0.004302668463226394,2115
NumAromaticCarbocycles,Descriptor,0.004052895582996635,2133
BCUT2D_MWLOW,Descriptor,0.003927073011637332,2060
BCUT2D_MRHI,Descriptor,0.003815160965057225,2065
Morgan_Bit_794,Morgan,0.003584130007075313,794
SlogP_VSA3,Descriptor,0.0030831946595144878,2104
FractionCSP3,Descriptor,0.0029869508792171855,2129
qed,Descriptor,0.0029789152278477298,2051
Morgan_Bit_1750,Morgan,0.0028433747562165114,1750
PEOE_VSA1,Descriptor,0.002487155077004818,2076
HallKierAlpha,Descriptor,0.002364958033429947,2072
FpDensityMorgan1,Descriptor,0.002137120812645247,2056
BCUT2D_LOGPHI,Descriptor,0.0020781435509165873,2063
MaxPartialCharge,Descriptor,0.0020289642617461693,2054
fr_allylic_oxid,Descriptor,0.0019920372304722063,2163
VSA_EState4,Descriptor,0.0018376884696919235,2123
Morgan_Bit_389,Morgan,0.001789563879280729,389
Morgan_Bit_650,Morgan,0.0017353671171172996,650
BalabanJ,Descriptor,0.0016891442722742865,2067
VSA_EState8,Descriptor,0.0015872707368321899,2127
Morgan_Bit_694,Morgan,0.0015742096584936479,694
Morgan_Bit_1243,Morgan,0.001524919472749427,1243
BCUT2D_CHGHI,Descriptor,0.0015186548419603714,2061
MinEStateIndex,Descriptor,0.0014126769987576806,2049
EState_VSA7,Descriptor,0.001291591740279879,2117
Morgan_Bit_1380,Morgan,0.0012784556790747283,1380
Morgan_Bit_1004,Morgan,0.0012102394892658775,1004
Morgan_Bit_1410,Morgan,0.0011935242138345994,1410
PEOE_VSA5,Descriptor,0.0011526741367900363,2085
EState_VSA4,Descriptor,0.001109966788727993,2114
SlogP_VSA11,Descriptor,0.0010819210973425117,2101
Morgan_Bit_1057,Morgan,0.001080366008978374,1057
PEOE_VSA10,Descriptor,0.0010067993463603053,2077
FpDensityMorgan3,Descriptor,0.0009786194853609442,2058
fr_unbrch_alkane,Descriptor,0.0009729056801407939,2212
EState_VSA9,Descriptor,0.0009517687262875065,2119
SMR_VSA4,Descriptor,0.0009512812407366398,2093
Morgan_Bit_80,Morgan,0.0008732077420316066,80
Morgan_Bit_807,Morgan,0.0008657241569452387,807
BCUT2D_LOGPLOW,Descriptor,0.0008583823407218805,2064
Morgan_Bit_1088,Morgan,0.0008442214437683703,1088
VSA_EState1,Descriptor,0.0008340194994307983,2120
Morgan_Bit_1645,Morgan,0.0008328769796675655,1645
EState_VSA3,Descriptor,0.0008076259419064156,2113
Morgan_Bit_695,Morgan,0.0007702460977290882,695
FpDensityMorgan2,Descriptor,0.0007594750609854286,2057
MinAbsEStateIndex,Descriptor,0.0007241316979523222,2050
Morgan_Bit_1144,Morgan,0.0007017934120780413,1144
Morgan_Bit_1019,Morgan,0.0006967460498528339,1019
Morgan_Bit_1754,Morgan,0.0006667458287982386,1754
PEOE_VSA8,Descriptor,0.0006506718346920733,2088
Morgan_Bit_1734,Morgan,0.0006223265793377066,1734
Morgan_Bit_1309,Morgan,0.0006119239590849495,1309
BCUT2D_CHGLO,Descriptor,0.0006094469506941538,2062
fr_aryl_methyl,Descriptor,0.0006020820770104555,2167
fr_aldehyde,Descriptor,0.0005988680266262845,2160
NumSaturatedCarbocycles,Descriptor,0.0005961717374884073,2136
Morgan_Bit_1017,Morgan,0.0005948977436763385,1017
SMR_VSA6,Descriptor,0.0005527616373555811,2095
VSA_EState3,Descriptor,0.0005498152267615586,2122
Morgan_Bit_1755,Morgan,0.0005483386669022616,1755
Morgan_Bit_1911,Morgan,0.0005373563936216087,1911
Morgan_Bit_974,Morgan,0.000533371805666087,974
Morgan_Bit_1,Morgan,0.0005239728675149281,1
Morgan_Bit_1028,Morgan,0.0005186053583605079,1028
SlogP_VSA1,Descriptor,0.0004730026342288563,2099
SMR_VSA10,Descriptor,0.0004462543739239283,2091
Morgan_Bit_1366,Morgan,0.00043358996132899076,1366
EState_VSA2,Descriptor,0.0004335804107269449,2112
Morgan_Bit_937,Morgan,0.0004312348536302608,937
EState_VSA10,Descriptor,0.00041338177445236367,2110
Morgan_Bit_1992,Morgan,0.0004114441887185315,1992
Morgan_Bit_1670,Morgan,0.00040708575733183766,1670
Morgan_Bit_151,Morgan,0.00040583878237142204,151
Morgan_Bit_1722,Morgan,0.00040409206543768635,1722
Morgan_Bit_926,Morgan,0.00039108038072085065,926
NumSaturatedRings,Descriptor,0.0003718722691913966,2138
Morgan_Bit_591,Morgan,0.0003703048058829159,591
PEOE_VSA9,Descriptor,0.0003626704670174079,2089
Morgan_Bit_1128,Morgan,0.000361563029261171,1128
Morgan_Bit_1356,Morgan,0.00035337398698197844,1356
Morgan_Bit_1325,Morgan,0.0003462286194184106,1325
Morgan_Bit_674,Morgan,0.0003455376090032942,674
Morgan_Bit_622,Morgan,0.0003427401899247138,622
VSA_EState9,Descriptor,0.00033476253139491305,2128
Morgan_Bit_147,Morgan,0.0003247113849122064,147
PEOE_VSA14,Descriptor,0.0003195438216935045,2081
EState_VSA6,Descriptor,0.0002998486126291374,2116
Morgan_Bit_1267,Morgan,0.00029450964329780433,1267
Morgan_Bit_1444,Morgan,0.00029125744058169326,1444
Morgan_Bit_283,Morgan,0.0002857223411082566,283
Morgan_Bit_1199,Morgan,0.00026833613199061645,1199
Morgan_Bit_1147,Morgan,0.00026455932822651697,1147
fr_Al_OH,Descriptor,0.00025559180819257303,2142
Morgan_Bit_1487,Morgan,0.0002465369124232931,1487
Morgan_Bit_775,Morgan,0.00024536722878122077,775
Morgan_Bit_1195,Morgan,0.0002434822028599432,1195
fr_ketone,Descriptor,0.00023977600244367905,2185
NumAliphaticRings,Descriptor,0.000234714681868855,2132
Morgan_Bit_562,Morgan,0.00022498365872533816,562
Morgan_Bit_1385,Morgan,0.00022220709788083992,1385
Morgan_Bit_585,Morgan,0.0002210462130497591,585
PEOE_VSA2,Descriptor,0.00021133467345900873,2082
Morgan_Bit_401,Morgan,0.00021001974997217994,401
Morgan_Bit_656,Morgan,0.00020794927551218663,656
Morgan_Bit_120,Morgan,0.00020063582518257337,120
Morgan_Bit_841,Morgan,0.0001981390357379788,841
Morgan_Bit_739,Morgan,0.00019693403414119436,739
fr_C_O_noCOO,Descriptor,0.00019621469733616058,2149
NumAliphaticCarbocycles,Descriptor,0.00019533901614781217,2130
EState_VSA1,Descriptor,0.00018706756082157702,2109
Morgan_Bit_749,Morgan,0.00017583730348724616,749
Morgan_Bit_890,Morgan,0.0001747131849400578,890
Morgan_Bit_787,Morgan,0.00017399628257272227,787
Morgan_Bit_392,Morgan,0.00017222886738661847,392
Morgan_Bit_1249,Morgan,0.00016180116835606652,1249
Morgan_Bit_13,Morgan,0.0001590635303046606,13
Morgan_Bit_1022,Morgan,0.00014842327657522102,1022
Morgan_Bit_322,Morgan,0.00014447080896721134,322
Morgan_Bit_145,Morgan,0.0001368950741404528,145
Morgan_Bit_208,Morgan,0.00013349159190768553,208
fr_ester,Descriptor,0.00013184705595581142,2176
Morgan_Bit_875,Morgan,0.00012975691741016977,875
Morgan_Bit_1060,Morgan,0.0001278890401267363,1060
