rank,smiles,mixture_cn,cn_error,cn_score,ysi,chemical_valid,chemical_flags,ood_warning,confidence_score,mixture_dcn,blend_ratio,ad_score,in_domain,mixture_ysi,mixture_bp,mixture_density
1,CCCCC=CCCCCCCC(CCCCCC)CCCCCC,77.00656248161472,0.00656248161472206,77.00656248161472,126.87185912307093,True,OK,False,100.0,77.00656248161472,0.4,0.04823827036051498,True,126.87185912307093,316.21013956733054,796.1187418670411
2,CCCCCCC(CCCCCC)CCCCC(C)CCCC,77.0403580295396,0.04035802953960399,77.0403580295396,124.68082128317698,True,OK,False,100.0,77.0403580295396,0.4,0.04790279372021122,True,124.68082128317698,303.92126248628654,796.5845346007503
3,CCCCC=CCCCCCCC(CCCCCC)CCCCC(C)CC,76.95913212601482,0.040867873985177994,76.95913212601482,127.56826844881977,True,OK,False,100.0,76.95913212601482,0.4,0.04239600743688954,True,127.56826844881977,329.34963635729855,795.024039923617
4,CCC(C)CCCCCCCCCCCCCC(CC)CC,77.04188711098826,0.04188711098825593,77.04188711098826,121.9784961480629,True,OK,False,100.0,77.04188711098826,0.4,0.07386332868253997,True,121.9784961480629,297.2414618844616,797.032454652185
5,CCC(CC)CCCCCCCCCCCCCCCC=O,77.04251857345818,0.04251857345818166,77.04251857345818,124.0541234654308,True,OK,False,100.0,77.04251857345818,0.4,0.04426208953609467,True,124.0541234654308,297.7078052896908,823.5068040518225
6,CCCCCCCCCCCCCCCC(CC)CC,77.05275346905948,0.05275346905948197,77.05275346905948,117.71817151568361,True,OK,False,100.0,77.05275346905948,0.4,0.07969421982839642,True,117.71817151568361,283.7604787164436,797.9301499188877
7,C=CCCCCCCCCCCCCCCCCC,77.05873407964619,0.05873407964618593,77.05873407964619,116.56721377317844,True,OK,False,100.0,77.05873407964619,0.4,0.06711262290560027,True,116.56721377317844,275.9684261265613,798.4075692496176
8,CCCCCCC(CCCCC(C)CC)CCCCC(C)CCCC,76.92640261050019,0.07359738949980965,76.92640261050019,125.67982744039136,True,OK,False,100.0,76.92640261050019,0.4,0.042155562027850535,True,125.67982744039136,317.1758661343183,795.6474123176627
9,CCCCC=CCCCCCCC(CCCCC)CCCCCCC,76.92422167414104,0.0757783258589626,76.92422167414104,127.01364962815762,True,OK,False,100.0,76.92422167414104,0.4,0.05198887057639423,True,127.01364962815762,316.2136234444323,796.0352355987675
10,CCCCCCCCC(CCCCCC)CCCC(CC)CC,76.90695736363911,0.0930426363608916,76.90695736363911,123.42368300021114,True,OK,False,100.0,76.90695736363911,0.4,0.0330739837659032,True,123.42368300021114,303.9192109542529,796.7262368421829
11,CCCCCCCCCCCCCCCC(CC)CC(C)C,76.78992866316888,0.21007133683112045,76.78992866316888,122.96359733695569,True,OK,False,100.0,76.78992866316888,0.4,0.06717800369999627,True,122.96359733695569,297.2414515705776,797.1317060724308
12,CCC(C)CCCCCCOCCCCCCC(CC)CC,77.23131073343677,0.23131073343677144,77.23131073343677,119.7806668448319,True,OK,False,100.0,77.23131073343677,0.4,0.08346657000882918,True,119.7806668448319,298.24449813905267,789.4156894073058
13,CCCCCCCCCCCCCCCC(C)CC,76.70373579399109,0.2962642060089138,76.70373579399109,114.12683497924077,True,OK,False,100.0,76.70373579399109,0.4,0.09304290079909361,True,114.12683497924077,276.9500461154745,798.3080096226385
14,CCC(C)CCCCCCCOCCCCCC(CC)CC,77.32026255918565,0.3202625591856503,77.32026255918565,119.78066684483187,True,OK,False,100.0,77.32026255918565,0.4,0.08210280477933707,True,119.78066684483187,298.247272346269,789.2054961759054
15,CCC(C)CCCCCCCCCCCCCC(C)CC,76.66701393084496,0.3329860691550408,76.66701393084496,119.248487903566,True,OK,False,100.0,76.66701393084496,0.4,0.08563237171939686,True,119.248487903566,290.53030267938266,798.0464526323409
16,CCCCCCCCCOCCCCC,76.66635434087077,0.33364565912923183,76.66635434087077,99.64529959385537,True,OK,False,100.0,76.66635434087077,0.4,0.1474360372738316,True,99.64529959385537,249.5130589489561,792.0825026036788
17,C=CCCCCCCC(CCCCCC)CCCCCCC,76.63403302576128,0.3659669742387166,76.63403302576128,124.1089344989881,True,OK,False,100.0,76.63403302576128,0.4,0.0279419692943208,True,124.1089344989881,296.277781654812,797.1719331028315
18,CC=CCCCCCCCCCCCCCCCCC,76.62909278123726,0.37090721876273847,76.62909278123726,119.37417780023722,True,OK,False,100.0,76.62909278123726,0.4,0.07602718929205998,True,119.37417780023722,282.7857276065347,798.0409783969955
19,CCCCCCCCOCCCCCCC(CC)CC,77.40135345069014,0.40135345069013795,77.40135345069014,115.21420256179967,True,OK,False,100.0,77.40135345069014,0.4,0.09435692937024931,True,115.21420256179967,284.5648722291022,790.391490121822
20,CCC(C)CCCCCCCCOCCCC(CC)CC,77.41755032240658,0.4175503224065835,77.41755032240658,116.84518206007779,True,OK,False,100.0,77.41755032240658,0.4,0.09273559520421892,True,116.84518206007779,291.4237472995055,789.7856531902186
21,CCCCC=CCCCCCCC(CCCCCC)CCCC(C)CCC,76.55824557517914,0.44175442482085714,76.55824557517914,127.62190887718185,True,OK,False,100.0,76.55824557517914,0.4,0.0431627372760367,True,127.62190887718185,329.36970710893604,794.7497555589266
22,CCCCCCCCOCCCCCCC,77.49141139054282,0.49141139054282235,77.49141139054282,103.88312877754099,True,OK,False,100.0,77.49141139054282,0.4,0.13365299208584647,True,103.88312877754099,256.70014436092083,792.6907198023192
23,CCCCCCCCCCCCCCCCC,76.49315817879953,0.5068418212004673,76.49315817879953,109.73433370108162,True,OK,False,100.0,76.49315817879953,0.4,0.0909853912478078,True,109.73433370108162,263.2364903813151,800.0202678909818
