biodiesel,fame_cn,best_mix_index,best_mix_cn,kl_divergence,cn_difference
Cannabis sativa Linn,36.4,418,25.7,21.914432192178896,10.7
Joannesia princeps Vell,45.2,200,45.0,11.870080898855838,0.20000000000000284
Urtica dioica Linn,38.7,200,45.0,11.270699452712671,-6.299999999999997
Corylus avellana,54.5,200,45.0,12.627719964034675,9.5
Melia azadirach Linn,41.4,200,45.0,11.38074002442444,-3.6000000000000014
Illicium verum Hook,50.7,438,70.0,18.48959375285832,-19.299999999999997
Aleurites moluccana,34.2,200,45.0,11.683097042773328,-10.799999999999997
Broussonetia papyrifera Vent,41.3,200,45.0,12.197503157151202,-3.700000000000003
Croton tiglium Linn,49.9,200,45.0,13.068076371567198,4.899999999999999
Moringa concanensis Nimmo,56.3,200,45.0,11.264733027345248,11.299999999999997
Argemone mexicana,44.5,200,45.0,10.259601248161216,-0.5
Calophyllum apetalum Wild,51.6,200,45.0,11.259350141753446,6.600000000000001
Terminalia chebula Retz,49.6,200,45.0,9.462214918889542,4.600000000000001
Pterygota alata Rbr,51.1,200,45.0,10.18735792606735,6.100000000000001
Princepia utilis Royle,48.9,200,45.0,10.036505930076443,3.8999999999999986
Vallaris solanacea Kuntze,50.3,200,45.0,11.358737608651879,5.299999999999997
Mappia foetida Milers,50.7,200,45.0,11.403192795755412,5.700000000000003
Mesua ferrea Linn,55.1,200,45.0,10.799569851796194,10.100000000000001
Rhus succedanea Linn,52.2,200,45.0,8.74419760070336,7.200000000000003
Aegle marmelos correa Roxb,48.3,200,45.0,9.77690517800675,3.299999999999997
Putranjiva roxburghii,55.0,200,45.0,11.248956531946046,10.0
Thevetia peruviana Merrill,57.5,200,45.0,10.048827468523118,12.5
Jatropa curcas Linn,52.3,200,45.0,9.982810763556916,7.299999999999997
Meyna laxiflora Robyns,50.4,200,45.0,9.552674386197001,5.399999999999999
Swietenia mahagoni Jacq,52.3,200,45.0,11.019217654025933,7.299999999999997
Balanites roxburghii Planch,50.5,200,45.0,9.612715253083804,5.5
Annona reticulata Linn,53.5,200,45.0,9.68621732121684,8.5
Azadirachta indica,57.8,200,45.0,10.192916864722187,12.799999999999997
Mimusops hexendra Roxb,59.3,200,45.0,9.635217559004856,14.299999999999997
Celastrus paniculatus Linn,51.9,200,45.0,8.539574681984323,6.899999999999999
Madhuca indica JF Gmel,56.6,200,45.0,9.596735451423779,11.600000000000001
Aphanamixis polystachya Park,48.5,200,45.0,8.804896833098145,3.5
Canarium commune Linn,55.6,200,45.0,8.124110908777721,10.600000000000001
Holoptelia integrifolia,61.2,200,45.0,7.34666676820529,16.200000000000003
Garcinia echinocarpa Thw,63.1,200,45.0,12.324529825617482,18.1
Garcinia morella Desr,63.5,200,45.0,13.510420572526684,18.5
Anamirta cocculus Wight & Hrn,64.3,200,45.0,11.76882217263879,19.299999999999997
Myristica malabarica Lam,61.8,200,45.0,10.424391281541203,16.799999999999997
Garcinia indica Choisy,65.2,200,45.0,12.643809059196764,20.200000000000003
Madhuca butyracea Mac,65.3,200,45.0,3.696256451070893,20.299999999999997
Neolitsea umbrosa Gamble,60.8,451,63.2,7.325203810078893,-2.4000000000000057
Salvadora oleoides Decne,66.1,451,63.2,10.254773558013127,2.8999999999999915
Neolitsea cassia Linn,64.1,451,63.2,4.261059136211092,0.8999999999999915
Actinodaphne angustifolia,63.2,451,63.2,3.9427843973139804,0.0
Litsea glutinosa Robins,64.8,451,63.2,3.3792905150957577,1.5999999999999943
