rank,smiles,cn,cn_error,cn_score,ysi,chemical_valid,chemical_flags,ood_warning,confidence_score,mixture_dcn,blend_ratio,ad_score,in_domain,mixture_ysi,mixture_bp,mixture_density
1,CCCCCC(CCCCCCOCCOC)CCCCOCCOCCOC,67.22469760485221,16.22469760485221,67.22469760485221,115.57257520204851,True,OK,False,100.0,67.22469760485221,0.15,0.028062235401719482,True,115.57257520204851,282.76664599610433,852.1033311599915
2,CCCCOCCCCCCC(CCCC)CCCCOCCOCCOC,66.27748842981465,15.277488429814653,66.27748842981465,115.3398611305854,True,OK,False,100.0,66.27748842981465,0.15,0.05177383003187597,True,115.3398611305854,279.9319447150734,850.422429275426
3,C#CCCCCOCCOCCOCCOCCCC,65.70866450541716,14.708664505417161,65.70866450541716,101.80696535925438,True,OK,False,100.0,65.70866450541716,0.15,0.01845770110511491,True,101.80696535925438,259.0895576986363,842.5828445215232
4,C#CCCCCOCCOCCOCCOCCC,65.66105061785218,14.661050617852183,65.66105061785218,100.24204402357367,True,OK,False,100.0,65.66105061785218,0.15,0.016377984388123656,True,100.24204402357367,256.63715558288106,842.7062878725143
5,CCCCOCCOCCOCCOCCCC,65.58671419489448,14.586714194894483,65.58671419489448,100.13031288650814,True,OK,False,100.0,65.58671419489448,0.15,0.021849309402883543,True,100.13031288650814,254.62591558738188,840.9899046099412
6,CCCCOCCOCCOCCOCCC,65.55447128520302,14.554471285203022,65.55447128520302,98.73474422577596,True,OK,False,100.0,65.55447128520302,0.15,0.018960057874331637,True,98.73474422577596,251.98793517189245,840.0219699131349
7,CCCOCCOCCOCCOCCC,65.5344810679475,14.534481067947496,65.5344810679475,97.23944571739594,True,OK,False,100.0,65.5344810679475,0.15,0.013770708923033337,True,97.23944571739594,249.71220653346415,841.6210241765822
8,CCCOCCOCCOCCOCC,65.34010384041045,14.34010384041045,65.34010384041045,95.72499093058647,True,OK,False,100.0,65.34010384041045,0.15,0.013070982709789236,True,95.72499093058647,247.01773309552686,840.4917415936311
9,CCOCCOCCOCCOCC,65.13342715846167,14.133427158461672,65.13342715846167,94.49881572124156,True,OK,False,100.0,65.13342715846167,0.15,0.010330325641851545,True,94.49881572124156,244.5519736554785,840.9576655917424
10,CCOCCOCCOCCOC=O,59.383680094614206,8.383680094614206,59.383680094614206,93.94732791699192,True,OK,False,100.0,59.383680094614206,0.15,0.03994641497053475,True,93.94732791699192,245.08683190762076,844.3567328950123
