rank,smiles,cn,cn_error,cn_score,bp,ysi,density,lhv,dynamic_viscosity,chemical_valid,chemical_flags,ood_warning,confidence_score
1,CCCCCCCCCCCCCCCCCCC,106.57164040118869,6.571640401188688,57.70925183305372,329.8598810245312,126.41555856103403,779.5995840961784,44.06189827488913,4.793244340526945,True,OK,False,100.0
2,CCCCCCCCCCCCCCCCCC,105.56845488078055,5.56845488078055,62.102693332121476,320.14082380230894,118.62176395045498,779.220013636408,44.064864689280334,4.219465267047392,True,OK,False,100.0
3,CCCCCCCCCCCCCCCCC,102.08477030672371,2.084770306723712,63.23027724639977,305.5502532467534,113.43501409593517,779.0835242066171,44.06785335966258,3.727387861148384,True,OK,False,100.0
4,CCCCCCCCCCCCCCCC,98.28801846280838,1.711981537191619,64.41497976661249,289.3446768975468,107.43839928467179,777.3697957225946,44.06785335966258,3.358704803702869,True,OK,False,100.0
5,CCCCCCCCCCCCCCC,94.04738982041849,5.952610179581512,64.87504618905946,277.09512150072123,101.69795016296747,774.317608387456,44.06785335966258,2.873736115742698,True,OK,False,100.0
6,CCCCCCOCCCCCC,90.49856305852056,9.50143694147944,80.08777829245182,222.1859035415923,69.17302038511677,756.0373095454864,39.22249491634323,1.9601496357105042,True,OK,False,100.0
7,COCOCOCOCOCOCOC,89.47105959260287,10.52894040739713,89.47105959260287,248.47187648173465,26.627875530761614,1080.9022126762477,18.68237565144616,3.8142087613403595,True,OK,False,100.0
8,COCOCOCOCOCOC,88.73909377895963,11.260906221040372,88.73909377895963,234.62164131049568,22.823245034572174,1080.2539626246657,18.638861453107104,2.873751428561804,True,OK,False,100.0
9,COCOCOCOCOC,86.9064307163746,13.0935692836254,86.9064307163746,202.51189210361116,19.090416041868348,1056.2375993117564,18.832755486970214,1.9955152359058184,True,OK,False,100.0
10,COCOC,52.76367566991686,47.23632433008314,52.76367566991686,46.43062510281697,11.991936724166347,983.8144767252821,22.823839734351985,0.330050445171041,True,OK,False,100.0
