rank,name,mixture_cn,mixture_cn_error,mixture_ysi,n_components
1,66.2%n-dodecane-33.8%iso-octane,66.777,0.223,72.203,2
2,66.2%n-dodecane-33.8%iso-octane,66.777,0.223,72.203,2
3,80.7%n-decane-19.3%iso-octane,66.45,0.55,59.646,2
4,80.7%n-decane-19.3%iso-octane,66.45,0.55,59.646,2
5,45.9%n-cetane-54.1%iso-cetane,67.981,0.981,107.619,2
6,diethyl carbonate 30% + n-decane,68.358,1.358,48.315,2
7,"40.77%n-dodecane-6.93%1,3,5-trimethylbenzene-29.18%2,2,4-trimethylpentane-23.11%n-propylbenzene",65.355,1.645,85.726,2
8,Nonane 70% + Heptane,65.338,1.662,48.759,2
9,dimethyl carbonate 24.6% + n-decane,64.935,2.065,50.857,2
10,79.6%n-decane-20.4%toluene,64.857,2.143,65.577,2
11,"36.24%2,2,4,4,6,8,8-heptamethylnonane-27.61%n-hexadecane-20.61%1-methylnaphthalene-15.55%cis-decalin ",64.37,2.63,105.533,3
12,41%n-cetane-59%iso-cetane,64.227,2.773,107.636,2
13,Decane 70% + Heptane,70.531,3.531,54.25,2
14,SCG B100,63.43,3.57,125.945,4
15,"71.44%n-dodecane-28.56%1,3,5-trimethylbenzene",70.655,3.655,80.601,2
16,"52.84%n-hexadecane-47.16%2,2,4,4,6,8,8-heptamethylnonane",70.793,3.793,108.595,2
17,Algal,70.807,3.807,120.939,4
18,74.4%n-decane-25.6%iso-octane,63.065,3.935,59.894,2
19,74.4%n-decane-25.6%iso-octane,63.065,3.935,59.894,2
20,dimethyl carbonate 29.9% + n-decane,62.389,4.611,48.905,2
21,diethyl carbonate 50% + n-decane,62.332,4.668,40.588,2
22,75%n-dodecane-25%iso-butylbenzene,71.701,4.701,80.801,2
23,Date pit methyl ester,62.208,4.792,114.562,9
24,"28.97%2,2,4,4,6,8,8-heptamethylnonane-19.89%n-octadecane-15.6%1,2,3,4-tetrahydronaphthalene (Tetralin)-14.5%1-methylnaphthalene-7.8%1,2,4-trimethylbenzene-5.42%cis-decalin-5.35%n-butylcyclohexane-2.48%n-hexadecane",72.254,5.254,110.417,5
25,"15.04%1,3,5-triisopropylbenzene-10.66%n-octadecane-19.34%n-butylcyclohexane-11.17%1,3,5-triisopropylcyclohexane-16.41%1,2,3,4-tetrahydronaphthalene (Tetralin)-13.99%1-methylnaphthalene-7.11%2-methylheptadecane-5.64%perhydrophenanthrene-0.64%n-eicosane",61.627,5.373,107.858,6
26,di-n-butyl carbonate 70% + n-decane,61.436,5.564,51.722,2
27,"41.08%n-hexadecane-58.92%2,2,4,4,6,8,8-heptamethylnonane",61.198,5.802,108.883,2
28,10.0% 1-octene + 90.0% n-octane,61.118,5.882,45.742,2
29,52.7%n-cetane-47.3%iso-cetane,73.239,6.239,107.596,2
30,93.4%n-decane-6.6%iso-octane,73.323,6.323,59.164,2
31,93.4%n-decane-6.6%iso-octane,73.323,6.323,59.164,2
32,Rapeseed B100,59.719,7.281,129.629,4
33,34.9%n-cetane-65.1%iso-cetane,59.65,7.35,107.658,2
34,68.3%n-decane-17.2%iso-octane-14.5%toluene,58.902,8.098,64.397,3
35,25.0% 1-octene + 75.0% n-octane,58.727,8.273,47.623,2
36,"29.65%n-dodecane-20.36%n-tetradecane-20.57%methylcyclohexane-14.95%1,3-dimethylbenzene (m-Xylene)-10.10%2,2,4-trimethylpentane-4.37%1,2,3,4-tetrahydronaphthalene (Tetralin)",75.333,8.333,79.485,3
37,Rapeseed methyl ester,58.321,8.679,130.43,5
38,dimethyl carbonate 39.3% + n-decane,57.892,9.108,45.225,2
39,51.9%n-dodecane-48.1%iso-octane,57.114,9.886,70.689,2
40,51.9%n-dodecane-48.1%iso-octane,57.114,9.886,70.689,2
41,di-2-methyl-propyl carbonate 70% + n-decane,76.909,9.909,58.924,1
42,di-1-methyl-propyl carbonate 70% + n-decane,76.909,9.909,58.924,1
43,Soya B100,56.574,10.426,130.636,4
44,Soybean methyl ester,56.437,10.563,131.063,5
45,diethyl carbonate 70% + n-decane,56.187,10.813,32.266,2
46,5-nonanone 70% + n-decane,55.896,11.104,47.57,2
47,61%n-decane-39%iso-octane,55.837,11.163,60.445,2
48,61%n-decane-39%iso-octane,55.837,11.163,60.445,2
49,60.3%n-decane-39.7%iso-octane,55.456,11.544,60.474,2
50,60.3%n-decane-39.7%iso-octane,55.456,11.544,60.474,2
51,28.6%n-cetane-71.4%iso-cetane,55.051,11.949,107.68,2
52,50.0% 1-octene + 50.0% n-octane,54.662,12.338,50.78,2
53,diethyl carbonate 75% + n-decane,54.629,12.371,30.085,2
54,Butyl valerate 70% + n-decane,54.495,12.505,50.371,2
55,50%n-dodecane-50%iso-butylbenzene,54.422,12.578,87.051,2
56,59.2%n-decane-40.8%toluene,53.777,13.223,73.348,2
57,"64.61%n-hexadecane-35.39%2,2,4,4,6,8,8-heptamethylnonane",80.573,13.573,108.306,2
58,dimethyl carbonate 48.9% + n-decane,53.247,13.753,41.148,2
59,5.0% toluene + 95.0% n-heptane,53.139,13.861,41.853,2
60,79.68%n-heptane-20.32%n-butylcyclohexane,52.92,14.08,50.494,2
61,63.1% 1-octene + 36.9% n-octane,52.493,14.507,52.446,2
62,"27.2%2,2,4,4,6,8,8-heptamethylnonane-23.46%n-octadecane-21.17%1,2,3,4-tetrahydronaphthalene (Tetralin)-15.75%1-methylnaphthalene-12.42%1,2,4-trimethylbenzene",81.729,14.729,114.616,2
63,"29.33%n-hexadecane-70.67%2,2,4,4,6,8,8-heptamethylnonane",51.95,15.05,109.171,2
64,44.2%n-dodecane-55.8%iso-octane,51.899,15.101,69.802,2
65,44.2%n-dodecane-55.8%iso-octane,51.899,15.101,69.802,2
66,"17.74%n-dodecane-28.28%1,3,5-trimethylbenzene-53.99%2,2,4-trimethylpentane",51.131,15.869,88.176,2
67,79.54%n-heptane-20.46%cyclooctane,51.001,15.999,42.621,2
68,10.1% toluene + 89.9% n-heptane,50.932,16.068,45.028,2
69,59.96%n-heptane-40.04%n-butylcyclohexane,50.617,16.383,60.306,2
70,75.0% 1-octene + 25.0% n-octane,50.498,16.502,53.966,2
71,dimethyl carbonate 56% + n-decane,49.75,17.25,37.9,2
72,80.16%n-heptane-15.43%cyclohexane,49.493,17.507,39.826,2
73,pentyl valerate 70% + Heptane,49.168,17.832,51.486,2
74,5-nonanone 70% + Heptane,49.004,17.996,41.79,2
75,79.84%n-heptane-20.16%decalin,48.815,18.185,55.145,2
76,40.56%n-heptane-59.44%n-butylcyclohexane,48.453,18.547,68.739,2
77,79.69%n-heptane-20.31%methylcyclohexane,48.393,18.607,42.329,2
78,87.5% 1-octene + 12.5% n-octane,48.385,18.615,55.57,2
79,79.85%n-heptane-20.15%cyclopentane,48.031,18.969,39.509,2
80,46.7%n-decane-53.3%iso-octane,48.03,18.97,61.068,2
81,46.7%n-decane-53.3%iso-octane,48.03,18.97,61.068,2
82,79.69%n-heptane-20.31%cycloheptane,47.933,19.067,40.985,2
83,butyl valerate 70% + Heptane,47.463,19.537,45.302,2
84,95% 1-octene + 5% n-octane,47.107,19.893,56.536,2
85,59.84%n-heptane-40.16%cyclooctane,46.842,20.158,46.164,2
86,Toluene 20% + Heptane 80%,46.631,20.369,51.269,2
87,SCG B20,46.582,20.418,84.856,6
88,20.37%n-heptane-79.63%n-butylcyclohexane,46.506,20.494,76.462,2
89,Date pit methyl ester B19.8 + RFD,46.399,20.601,78.496,11
90,Rapeseed B20,45.806,21.194,85.782,6
91,Rapeseed methyl ester B19.9 + RFD,45.531,21.469,86.12,7
92,34.6%n-dodecane-65.4%iso-octane,45.357,21.643,68.615,2
