gen,best_cn,mean_cn,best_ysi,mean_ysi,pareto_size,pop_size
1,76.37992317546221,52.844420105524655,86.97161596383359,104.10025157701433,2,369
2,76.37992317546221,59.05085959262833,86.39086908996235,101.06578439828351,4,133
3,76.37992317546221,63.01295574192753,86.39086908996235,101.12552745370934,6,130
4,76.37992317546221,62.46921652260584,86.39086908996235,99.02743665057645,6,127
5,76.37992317546221,62.88581165965153,86.39086908996235,97.20202621194295,6,108
6,76.95292965973853,63.30534050268351,86.39086908996235,100.95809072911423,8,118
7,77.14019238667466,66.97256832476613,86.39086908996235,103.78902346769304,11,108
8,77.42123186111635,67.8758642360193,86.39086908996235,105.84980059110632,14,102
9,78.5325882285209,67.77952555311917,86.39086908996235,106.37059279593416,13,112
10,79.18934541142036,67.91617816479848,86.39086908996235,106.28335012879302,12,111
11,79.36200574453603,69.46050066666179,86.39086908996235,107.83636666161429,11,112
12,79.36200574453603,68.46865670752238,86.39086908996235,104.26235608592687,11,107
13,79.36200574453603,69.02858383827368,86.39086908996235,105.23165470755491,12,97
14,79.36200574453603,67.42697504837065,86.39086908996235,102.09186735934789,13,109
15,80.31160153830743,68.15551941218362,86.39086908996235,104.57310342466499,15,114
16,80.63879754400122,67.79263706085587,86.39086908996235,104.16999959649847,16,108
