rank,smiles,cn,cn_error,cn_score,ysi,chemical_valid,chemical_flags,ood_warning,confidence_score,mixture_dcn,blend_ratio,ad_score,in_domain,mixture_ysi,mixture_bp,mixture_density
1,CCCCCCCCCCCCCCCCCCOCCOCC,80.63879754400122,29.63879754400122,80.63879754400122,121.36562405514549,True,OK,False,100.0,80.63879754400122,0.3,0.029897021684595737,True,121.36562405514549,296.31489287115016,854.7320427385846
2,CCCCCCOCCCCCCCCCCCCCCCOC,80.31160153830743,29.31160153830743,80.31160153830743,121.35179613169748,True,OK,False,100.0,80.31160153830743,0.3,0.028196132281418484,True,121.35179613169748,296.33476535852253,854.9698907014847
3,CCCCCCCCCCCCCCCCOCCOCC,79.36200574453603,28.362005744536035,79.36200574453603,117.75039652376856,True,OK,False,100.0,79.36200574453603,0.3,0.041734878323627767,True,117.75039652376856,287.09337742855246,852.977879252011
4,CCCCCCOCCCCCCCCCCOCCCC,78.87609396754185,27.87609396754185,78.87609396754185,117.61590643393089,True,OK,False,100.0,78.87609396754185,0.3,0.0452969373400286,True,117.61590643393089,286.9954319031757,851.9919754390427
5,CCCCCCOCCCCCCCCCCCCOC,78.28833847482929,27.28833847482929,78.28833847482929,115.78532531273868,True,OK,False,100.0,78.28833847482929,0.3,0.047361693748022016,True,115.78532531273868,282.39902773919414,852.1205937001913
6,CCCCCCOCCCCCCCOCCCCCC,78.27046239111037,27.27046239111037,78.27046239111037,115.26147135727174,True,OK,False,100.0,78.27046239111037,0.3,0.050220278646249894,True,115.26147135727174,282.2632729509331,850.8546412237678
7,CCCCCCCOCCCCCCOCCCCCC,78.01163098763266,27.011630987632657,78.01163098763266,115.26147135727172,True,OK,False,100.0,78.01163098763266,0.3,0.05075349848251032,True,115.26147135727172,282.27481245832223,850.9629717642749
8,CCCCCCOCCCCCCCCOCCCC,77.41185344801882,26.411853448018817,77.41185344801882,113.40099127975809,True,OK,False,100.0,77.41185344801882,0.3,0.05616438879362595,True,113.40099127975809,277.4905058941199,849.9069040177617
9,CCCCOCOCCCC,76.37992317546221,25.37992317546221,76.37992317546221,88.89316120200724,True,OK,False,100.0,76.37992317546221,0.3,0.03799085179415951,True,88.89316120200724,231.22378704106126,838.7504261704067
10,CCCCOCCOCC,75.94859387520575,24.948593875205745,75.94859387520575,88.14820935514265,True,OK,False,100.0,75.94859387520575,0.3,0.06486114473678872,True,88.14820935514265,225.81648675009995,838.0263058360554
11,CCOCCOCC,74.47362482238215,23.47362482238215,74.47362482238215,88.06242438945532,True,OK,False,100.0,74.47362482238215,0.3,0.06554356418659524,True,88.06242438945532,214.953118162286,837.4513572073291
12,CCCOCCOCCC,71.467767128765,20.467767128765004,71.467767128765,87.88530321567416,True,OK,False,100.0,71.467767128765,0.3,0.0342393186782467,True,87.88530321567416,226.0228309610099,839.1710304597042
13,CCOCCOCCCC(C)=O,64.1487841428272,13.148784142827196,64.1487841428272,87.00458439637337,True,OK,False,100.0,64.1487841428272,0.3,0.04312733532516466,True,87.00458439637337,239.49187137787476,856.1231665557173
14,CCOCCOC(=O)C,56.50821166597602,5.50821166597602,56.50821166597602,86.97161596383359,True,OK,False,100.0,56.50821166597602,0.3,0.03273351561491877,True,86.97161596383359,223.16876630728115,851.9471254984664
15,CCCOCCOC(C)=O,53.8054631656031,2.8054631656031006,53.8054631656031,86.6985552913927,True,OK,False,100.0,53.8054631656031,0.3,0.051857362729405665,True,86.6985552913927,228.24582794263785,851.0696088685365
16,CCOCCOC(=O)CC,52.34001597614863,1.3400159761486279,52.34001597614863,86.39086908996235,True,OK,False,100.0,52.34001597614863,0.3,0.03700677469301206,True,86.39086908996235,228.4261960450968,851.9920856604488
