rank,smiles,cn,cn_error,cn_score,ysi,chemical_valid,chemical_flags,ood_warning,confidence_score,mixture_dcn,blend_ratio,ad_score,in_domain,mixture_ysi,mixture_bp,mixture_density
1,CCCCCCCCCCCCCC(CCCCCC)CCCCCOCCCCC,80.46806499970667,29.46806499970667,80.46806499970667,125.57258400123939,True,OK,False,100.0,80.46806499970667,0.3,0.004669246629739332,True,125.57258400123939,328.00567773103137,791.4761896200131
2,CCCCCCCCCCC(CCCCCCCCC)CCCCOCCCCCC,80.21005913847807,29.210059138478073,80.21005913847807,125.5725840012394,True,OK,False,100.0,80.21005913847807,0.3,0.00389485837567749,True,125.5725840012394,327.95552400554584,792.1527490058742
3,CCCCCCCCCCCCC(CCCCCCCC)CCCOCCCCCC,80.17396487027005,29.173964870270055,80.17396487027005,125.53327350040391,True,OK,False,100.0,80.17396487027005,0.3,0.0033712092267169647,True,125.53327350040391,327.931200219812,792.4843092486994
4,CCCCCCCCCCCC(CCCCCCCCC)CCCOCCCCCC,80.164425075617,29.164425075617004,80.164425075617,125.5332735004039,True,OK,False,100.0,80.164425075617,0.3,0.0033742131101753836,True,125.5332735004039,327.931200219812,792.4843092486994
5,CCCCCCCCCC(CCCCCCCCC(C)CC)CCCCOCCCCCC,79.88104574441726,28.881045744417264,79.88104574441726,126.11655323107861,True,OK,False,100.0,79.88104574441726,0.3,0.0024775508769199206,True,126.11655323107861,337.8339655455401,791.2749677791224
6,CCCCCCCCCCCCC(CCCCCC)CCCCCOCCCCC,79.85789153452978,28.857891534529784,79.85789153452978,125.23963838418523,True,OK,False,100.0,79.85789153452978,0.3,0.011169770968779247,True,125.23963838418523,323.04096145949484,791.9065310693791
7,CCCCCCCCCCCC(CCCCCCC)CCCOCCCCCCCCC,79.7813460477087,28.781346047708695,79.7813460477087,125.82954279711704,True,OK,False,100.0,79.7813460477087,0.3,0.00264770630316169,True,125.82954279711704,332.8422360470968,792.3963546904109
8,CCCCCCCCCCCCC(CCCCCCCC)CCCOCCCCC,79.67559471846526,28.675594718465263,79.67559471846526,125.20096054351579,True,OK,False,100.0,79.67559471846526,0.3,0.010047090418569882,True,125.20096054351579,322.9983891250689,792.590919822845
9,CCCCCCCCCCCC(CCCCCCCCC)CCCOCCCCC,79.66567309294233,28.665673092942328,79.66567309294233,125.18946516263951,True,OK,False,100.0,79.66567309294233,0.3,0.010044547693143002,True,125.18946516263951,322.9983891250689,792.590919822845
10,CCCCCCCCCC(CCCCCCCCC)CCCCOCCCCCC,79.59012261658333,28.59012261658333,79.59012261658333,125.22814300330894,True,OK,False,100.0,79.59012261658333,0.3,0.01031136863920401,True,125.22814300330894,322.9994999251487,792.5729171718108
11,CCCCCCCCCCCC(CCCCCCCCC)CCCOCCCCC(C)CC,79.57597764630039,28.575977646300387,79.57597764630039,126.11655323107861,True,OK,False,100.0,79.57597764630039,0.3,0.004331373251056592,True,126.11655323107861,337.7696893311263,791.9341049005701
12,CCCCCCCCCCCC(CCCCCCCC)CCCOCCCCCC,79.5527270997109,28.552727099710907,79.5527270997109,125.2009605435158,True,OK,False,100.0,79.5527270997109,0.3,0.00974915933450371,True,125.2009605435158,322.9794259777749,792.8994853400515
13,CCCCCCCCCCC(CCCCCCCCC)CCCOCCCCCC,79.54286419035301,28.542864190353015,79.54286419035301,125.18946516263951,True,OK,False,100.0,79.54286419035301,0.3,0.009750605583312089,True,125.18946516263951,322.9794259777749,792.8994853400515
14,CCCCCCCCCCC(CCCCCC)CCCCCCCOCCCC,79.25876971735829,28.25876971735829,79.25876971735829,124.86661722026133,True,OK,False,100.0,79.25876971735829,0.3,0.016051320412739156,True,124.86661722026133,318.0970299343338,791.6716914277868
15,CCCCCCCCCCCC(CCCCCC)CCCCCOCCCCC,79.22139670248926,28.22139670248926,79.22139670248926,124.98745331078081,True,OK,False,100.0,79.22139670248926,0.3,0.01780477061115604,True,124.98745331078081,318.08589193724583,791.8866341587809
16,CCCCCCCCCCCC(CCCCCCCC)CCCOCCCCC,79.03252437912361,28.032524379123615,79.03252437912361,124.87392098092005,True,OK,False,100.0,79.03252437912361,0.3,0.01661116496428039,True,124.87392098092005,318.02804157202206,793.0252779545616
17,CCCCCCCCCC(CCCCCCCCC)CCCOCCCCCC,78.89501006572964,27.895010065729636,78.89501006572964,124.88231321255194,True,OK,False,100.0,78.89501006572964,0.3,0.016246593756810368,True,124.88231321255194,318.0129396503281,793.3289586033819
18,CCCCCCCCCCCC(CCCOCCCCCC)CCCC(C)CCCCCC,78.78371621177791,27.783716211777914,78.78371621177791,126.06183971191561,True,OK,False,100.0,78.78371621177791,0.3,0.01168846830263981,True,126.06183971191561,337.79301666511697,791.6940848674934
19,CCCCCCCCCCCC(CCCCC)CCCCCOCCCCC,78.7042707792708,27.7042707792708,78.7042707792708,124.49300763917202,True,OK,False,100.0,78.7042707792708,0.3,0.02654755514768392,True,124.49300763917202,313.08642182855533,792.3551621791062
20,CCCCCCCCCCCC(CCCCCCCCCCC)CCCOC,78.64115687890666,27.641156878906656,78.64115687890666,124.44870261063043,True,OK,False,100.0,78.64115687890666,0.3,0.010038343131513083,True,124.44870261063043,313.14737354990393,790.8737011378399
21,CCCCCCCCCCCCCCCCCCCCCCCCC(CC)CC,78.52786948809268,27.527869488092676,78.52786948809268,124.24613118036996,True,OK,False,100.0,78.52786948809268,0.3,0.013957788179354225,True,124.24613118036996,317.05059657698575,799.3713242403178
22,CCCCCCCCCC(CCCCCCCCC)CCCOCCCCC,78.34964412826531,27.34964412826531,78.34964412826531,124.23935516129465,True,OK,False,100.0,78.34964412826531,0.3,0.02330935641315013,True,124.23935516129465,313.0425107812789,793.4748617047326
