gen,best_cn,mean_cn,best_ysi,mean_ysi,pareto_size,pop_size
1,76.37992317546221,52.844420105524655,86.97161596383359,104.10025157701433,2,369
2,76.37992317546221,60.38643353376667,86.97161596383359,103.46367256320147,2,139
3,76.37992317546221,64.44795043627514,86.97161596383359,106.26778714372885,3,133
4,77.41305695360602,63.51021286057157,86.39081864397315,105.07402804604538,7,126
5,78.22827746345538,68.27002365585554,86.39081864397315,107.55067602669217,11,116
6,78.90526781492814,68.0579784161388,86.39081864397315,105.57997280577064,12,121
7,78.90526781492814,68.87961813588602,86.39081864397315,109.31375203023966,12,112
8,79.59012261658333,70.90585535575883,86.39081864397315,111.97367541598736,15,126
9,80.21005913847807,71.32975097963156,86.39081864397315,111.56341989138748,14,131
10,80.21005913847807,71.9762928312483,86.39081864397315,113.56318932081292,13,122
11,80.46806499970667,71.61975986541091,86.39081864397315,113.06888027838761,15,125
