rank,smiles,cn,cn_error,cn_score,ysi,chemical_valid,chemical_flags,ood_warning,confidence_score,mixture_dcn,blend_ratio,ad_score,in_domain,mixture_ysi,mixture_bp,mixture_density
1,CCCCCCCCCCCCCC(CCCCCC)CCCCCOCCCCC,80.46806499970667,29.46806499970667,80.46806499970667,125.57258400123939,True,OK,False,100.0,80.46806499970667,0.3,0.004669246629739332,True,125.57258400123939,328.00567773103137,791.4761896200131
2,CCCCCCCCCCCCC(CCCCCCCC)CCCOCCCCCC,80.17396487027005,29.173964870270055,80.17396487027005,125.53327350040391,True,OK,False,100.0,80.17396487027005,0.3,0.0033712092267169647,True,125.53327350040391,327.931200219812,792.4843092486994
3,CCCCCCCCCCCC(CCCCCCCCC)CCCOCCCCCC,80.164425075617,29.164425075617004,80.164425075617,125.5332735004039,True,OK,False,100.0,80.164425075617,0.3,0.0033742131101753836,True,125.5332735004039,327.931200219812,792.4843092486994
4,CCCCCCCCCCCC(CCCCCC)CCCOCCOCCCC,80.15920953314534,29.159209533145344,80.15920953314534,124.39718597017608,True,OK,False,100.0,80.15920953314534,0.3,0.00155935587723266,True,124.39718597017608,318.3921807994178,858.7556883806362
5,CCCCCCCCCCC(CCCCCC)CCCOCCOCCCC,79.54607072583514,28.546070725835136,79.54607072583514,124.07343492547498,True,OK,False,100.0,79.54607072583514,0.3,0.006192287321384993,True,124.07343492547498,314.08462256492135,858.0232519165894
6,CCCCCCCCCCC(CCCCCC)CCCOCCOCCC,79.24639045115332,28.246390451153317,79.24639045115332,123.66450855196629,True,OK,False,100.0,79.24639045115332,0.3,0.012513781078375641,True,123.66450855196629,309.72018348703386,857.173904248596
7,CCCCCCCCCCCCCCCCCCCOCC,77.63833224453857,26.638332244538574,77.63833224453857,120.5157527030609,True,OK,False,100.0,77.63833224453857,0.3,0.06037487302790445,True,120.5157527030609,282.7001565478789,793.7130512357991
8,CCCCCCCCCCCCCCCCCCCOC,76.77180435422515,25.771804354225154,76.77180435422515,118.57890055660691,True,OK,False,100.0,76.77180435422515,0.3,0.05928750774676994,True,118.57890055660691,277.59808613172856,795.4115086669403
9,CCCCCCCCCCCOCCCCCCOC,76.6272912145914,25.627291214591395,76.6272912145914,113.83140347486601,True,OK,False,100.0,76.6272912145914,0.3,0.055562128202401695,True,113.83140347486601,277.6346154638885,851.1598757023235
10,CCCCOCOCCCC,76.37992317546221,25.37992317546221,76.37992317546221,88.89316120200722,True,OK,False,100.0,76.37992317546221,0.3,0.03799085179415951,True,88.89316120200722,231.2237870410611,838.750426170407
11,CCCCOCCOCC,75.94859387520575,24.948593875205745,75.94859387520575,88.14820935514265,True,OK,False,100.0,75.94859387520575,0.3,0.06486114473678872,True,88.14820935514265,225.81648675009995,838.0263058360555
12,CCOCCOCC,74.47362482238215,23.47362482238215,74.47362482238215,88.06242438945532,True,OK,False,100.0,74.47362482238215,0.3,0.06554356418659524,True,88.06242438945532,214.953118162286,837.4513572073291
13,CCOCCOCCC(C)C=O,64.91922109522463,13.919221095224628,64.91922109522463,87.39640711373741,True,OK,False,100.0,64.91922109522463,0.3,0.03334448725471184,True,87.39640711373741,239.544288843299,856.4037484803739
14,CCOCCOCCCC(C)=O,64.1487841428272,13.148784142827196,64.1487841428272,87.00458439637337,True,OK,False,100.0,64.1487841428272,0.3,0.04312733532516466,True,87.00458439637337,239.49187137787476,856.1231665557173
15,COCCOCCC(C)C=O,62.65297682849558,11.652976828495582,62.65297682849558,86.39081864397315,True,OK,False,100.0,62.65297682849558,0.3,0.004967592055583059,True,86.39081864397315,234.30293616961126,855.6187918308249
