rank,smiles,cn,cn_error,cn_score,bp,ysi,density,lhv,dynamic_viscosity,chemical_valid,chemical_flags,ood_warning,confidence_score
1,CCCCCCCOCCCCCC,90.08027312291966,40.080273122919664,74.16220243817723,234.8261008214066,79.4516400629716,758.3098187656667,39.32228686690371,2.4161262871751936,True,OK,False,100.0
2,CCCCCCCCCCCCCCCCCCOC(C)=O,89.9389915066344,39.938991506634395,42.14338726927125,231.36555174603197,138.57041763663665,864.3126543235776,36.58810545033962,6.347850049085232,True,OK,False,100.0
3,CCCCCCCCCCCCCCCCCOC(C)=O,88.73755641310383,38.73755641310383,45.474350315069394,230.72123309523835,131.25685043776608,864.3126543235776,36.54367772568327,5.833938355870034,True,OK,False,100.0
4,CCCCCCCOCCCCCCC,88.58886572171032,38.58886572171032,66.98425568473927,244.9577235245313,90.64583410297284,760.4085413353226,39.350157449091576,2.8683857744900636,True,OK,False,100.0
5,CCCCCCCCOCCCCCC,88.15805099257199,38.15805099257199,66.65850589965898,245.0525057467535,90.64583410297284,760.4085413353226,39.350157449091576,2.860919338884331,True,OK,False,100.0
6,CCCCCCCCCOCCCCC,87.64672901309352,37.64672901309352,66.20962418743942,245.01438074675352,90.76422297222223,759.6758646163262,39.350726024692946,2.876252658733927,True,OK,False,100.0
7,CCCCCCCCOCCCCCCC,87.44854938031337,37.448549380313366,60.854473491866756,247.0909195418473,100.68518589292448,762.8342841722624,39.35672660716717,3.389986902024641,True,OK,False,100.0
8,CCCCCCCCCCCC=O,83.61492235408427,33.61492235408427,71.66122616593486,208.6619935302895,73.82687972355194,829.0660373206158,38.939006409420166,2.1330027380723213,True,OK,False,100.0
9,CCCCCCCCCCCCCCCC(=O)OCCCCCC,81.77544770351503,31.775447703515027,34.70071146906574,247.06303960317504,145.94309285659799,857.9171162261725,36.6955376823393,8.2802298047753,True,OK,False,100.0
10,CCCCCCCCCCCC(=O)OCCCCCCCCCC,80.43422068886852,30.43422068886852,34.68643754986487,245.84771785714332,144.79336603086483,857.9171162261725,36.67924700020871,8.153404769748757,True,OK,False,100.0
11,CCCCCCCCCCCCOC(=O)CCCCCCCCC,80.04534836865963,30.04534836865963,34.118604616178935,245.84771785714332,145.62650982323774,857.9171162261725,36.67924700020871,8.330087232185239,True,OK,False,100.0
12,CCCCCCCCCOC(=O)CCCCCCCCC,78.69682492431961,28.696824924319614,41.17630738672858,228.64700218254006,129.46215867809448,857.8848488029605,36.41517041497307,5.7173723291642355,True,OK,False,100.0
13,CCCCCCCCCCCOC(=O)CCCCCCC,78.32529877850776,28.325298778507758,41.017677154161376,228.81285932539723,129.3860608814843,857.8848488029605,36.427509733087945,5.718545663634018,True,OK,False,100.0
14,CCCCCCCCCCCCCOC(=O)CCCC,74.40262839978928,24.40262839978928,43.20320887801273,227.29837414502202,119.88870373891457,858.0807858922797,36.0244863654517,5.298306168043709,True,OK,False,100.0
15,CCCCCCCOC(=O)CCCCCC,57.887150602859684,7.887150602859684,44.66184817591293,234.63209150182212,88.07782985001342,857.6101382239277,34.44232639359036,3.523136040946053,True,OK,False,100.0
16,CCCCCCCCCOC(=O)CCC,56.540208402778354,6.5402084027783545,44.21541995039632,241.1592467451898,86.33045343761769,858.0850711721183,34.11398659855179,2.8478508169316057,True,OK,False,100.0
17,CCCCCCCCCC(=O)OCCC,55.853131064442614,5.853131064442614,45.708194976608134,246.58731697189288,80.27265703967244,857.9362515314812,34.205045087015215,2.8927402752435674,True,OK,False,100.0
