target_dcn,atom=H,atom=He,atom=Li,atom=Be,atom=B,atom=C,atom=N,atom=O,atom=F,atom=Ne,atom=Na,atom=Mg,atom=Al,atom=Si,atom=P,atom=S,atom=Cl,atom=Ar,atom=Br,atom=I,atom=other,degree=0,degree=1,degree=2,degree=3,degree=4,degree=5,degree=other,formal_charge,total_H,hybrid=S,hybrid=SP,hybrid=SP2,hybrid=SP3,hybrid=SP3D,hybrid=SP3D2,hybrid=other,is_aromatic,atomic_mass,lone_pairs,HBD=0,HBD=1,HBD=2,HBD=3,HBD=other,HBA=0,HBA=1,HBA=2,HBA=3,HBA=other,ring_size,electronegativity,bond=NONE,bond=SINGLE,bond=DOUBLE,bond=TRIPLE,bond=AROMATIC,bond=other,is_conjugated,stereo=0,stereo=1,stereo=2,stereo=3,stereo=4,stereo=5,stereo=other,in_ring
19.53,0.0,0.0,0.0,0.0,0.0,-1.001132341977419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3594119099596984,-1.0697796311046694,0.0,0.0,0.0,-7.2365850389775215,0.0,0.0,-0.5524407189528251,3.4914596285725548,0.0,0.0,0.0,0.0,0.013132193346491405,0.0,12.237007012344405,0.0,0.0,0.0,0.0,-4.934074931758326,0.0,0.0,0.0,0.0,0.0,-0.8656549817866672,0.0,0.641693925141178,-0.23376999498122153,0.0,0.0,0.0,0.0,-4.043853596536907,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.7,0.0,0.0,0.0,0.0,0.0,1.2739621560588112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4046174445254991,0.7370790508586431,0.0,0.0,0.0,-8.206984346900647,0.0,0.0,-0.5283728321384249,1.0923000382259556,0.0,0.0,0.0,0.0,0.033766052501029264,0.0,9.764753157970997,0.0,0.0,0.0,0.0,-3.869828205975276,0.0,0.0,0.0,0.0,0.0,-0.7993541692695363,0.0,0.9610566640013705,-0.15833060028932522,0.0,0.0,0.0,0.0,-2.0834519231486173,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.7,0.0,0.0,0.0,0.0,0.0,1.5954555602314144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.175248762372071,0.9548158740005697,0.0,0.0,0.0,-6.044113261894391,0.0,0.0,-2.0124234100549536,1.0102352428748471,0.0,0.0,0.0,0.0,-0.08141209441801323,0.0,8.681517922157738,0.0,0.0,0.0,0.0,-2.186450750863461,0.0,0.0,0.0,0.0,0.0,-0.767436868401445,0.0,1.8539823461345168,-0.23418663363761283,0.0,0.0,0.0,0.0,-2.0593481353107546,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.0,0.0,0.0,0.0,0.0,0.0,1.362759670583804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.672793410383301,0.7763488923194899,0.0,0.0,0.0,-7.788337101037256,0.0,0.0,-1.7424884490430799,0.45067733143105393,0.0,0.0,0.0,0.0,0.38334846412800516,0.0,10.456035358037852,0.0,0.0,0.0,0.0,-2.6255818791498573,0.0,0.0,0.0,0.0,0.0,-0.15006023506150434,0.0,1.6047182852336785,-0.24121389502619017,0.0,0.0,0.0,0.0,0.3848226035513047,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.6,0.0,0.0,0.0,0.0,0.0,-1.2098723466646302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3615329927675361,1.8907663232702028,0.0,0.0,0.0,-7.097442588074593,0.0,0.0,-1.6440648180927795,1.0488422201442376,0.0,0.0,0.0,0.0,0.4825321694626066,0.0,9.899462093424633,0.0,0.0,0.0,0.0,-1.3070298553689064,0.0,0.0,0.0,0.0,0.0,-0.21682833771725107,0.0,3.790717759957513,-0.4593439538620103,0.0,0.0,0.0,0.0,-1.262297949244065,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.6,0.0,0.0,0.0,0.0,0.0,1.067100496627459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.115828750450012,1.0661511830591337,0.0,0.0,0.0,-5.831549427386667,0.0,0.0,-1.8621315351075491,0.9323174414919659,0.0,0.0,0.0,0.0,0.322850569985782,0.0,9.778439825731907,0.0,0.0,0.0,0.0,-1.993037269408319,0.0,0.0,0.0,0.0,0.0,-0.6722286726513786,0.0,3.6206472674804306,-1.1213711872598768,0.0,0.0,0.0,0.0,-0.4334585743012056,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.9,0.0,0.0,0.0,0.0,0.0,0.7479941156588961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.4574946057676392,-0.23772803474867565,0.0,0.0,0.0,-3.361589255616412,0.0,0.0,-2.3632214847235913,1.3867220517890768,0.0,0.0,0.0,0.0,0.4862403853521666,0.0,11.072541522033045,0.0,0.0,0.0,0.0,-0.8622428463346878,0.0,0.0,0.0,0.0,0.0,-0.5291901778570178,0.0,1.1116297315862695,-1.3956019378360818,0.0,0.0,0.0,0.0,1.2829738073770898,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26.8,0.0,0.0,0.0,0.0,0.0,1.1806014209331899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0753866359936204,1.2191388760217166,0.0,0.0,0.0,-6.663978108096231,0.0,0.0,-3.583803893653382,3.3568731741163393,0.0,0.0,0.0,0.0,0.31391065891083336,0.0,9.492842377128369,0.0,0.0,0.0,0.0,-0.9788885402932284,0.0,0.0,0.0,0.0,0.0,-0.14649221720083716,0.0,4.639633745345643,-1.464921677579568,0.0,0.0,0.0,0.0,0.6214497926095675,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27.9,0.0,0.0,0.0,0.0,0.0,2.7921921838773898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7769403566740838,1.3500586740746012,0.0,0.0,0.0,-9.209310871735834,0.0,0.0,-3.889636698677595,5.5983938425759465,0.0,0.0,0.0,0.0,0.4794952779903845,0.0,9.460231337738005,0.0,0.0,0.0,0.0,-0.5361149551457132,0.0,0.0,0.0,0.0,0.0,-0.17237303702950868,0.0,2.4551115139591495,-0.7387976853162552,0.0,0.0,0.0,0.0,1.1574483372446132,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.2,0.0,0.0,0.0,0.0,0.0,-0.5151891907300001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4576135080500787,0.0,0.0,0.0,-8.501684174504561,0.0,0.0,0.0,3.479378426013966,0.0,0.0,0.0,0.0,0.09540887890035599,0.0,8.476266909130349,0.0,0.0,0.0,0.0,-4.509639957471045,0.0,0.0,0.0,0.0,-1.9080452908387926,0.3378406069612101,0.0,0.898260417650798,0.0,0.0,0.0,0.0,0.0,-1.5255862216906948,0.0,0.0,0.0,0.0,0.0,0.0,-1.301529939434575
