feature_type,feature
morgan_fp,bit_379
morgan_fp,bit_486
morgan_fp,bit_456
morgan_fp,bit_316
morgan_fp,bit_392
morgan_fp,bit_118
morgan_fp,bit_80
morgan_fp,bit_476
morgan_fp,bit_13
morgan_fp,bit_114
morgan_fp,bit_508
morgan_fp,bit_1
morgan_fp,bit_294
morgan_fp,bit_124
morgan_fp,bit_389
morgan_fp,bit_283
morgan_fp,bit_401
morgan_fp,bit_295
morgan_fp,bit_404
morgan_fp,bit_29
morgan_fp,bit_254
morgan_fp,bit_137
morgan_fp,bit_14
morgan_fp,bit_413
morgan_fp,bit_312
morgan_fp,bit_296
morgan_fp,bit_2
morgan_fp,bit_147
morgan_fp,bit_86
morgan_fp,bit_479
morgan_fp,bit_406
morgan_fp,bit_323
morgan_fp,bit_205
morgan_fp,bit_170
morgan_fp,bit_310
morgan_fp,bit_219
morgan_fp,bit_146
morgan_fp,bit_26
morgan_fp,bit_229
morgan_fp,bit_222
morgan_fp,bit_448
morgan_fp,bit_132
morgan_fp,bit_308
morgan_fp,bit_473
morgan_fp,bit_358
morgan_fp,bit_225
morgan_fp,bit_511
morgan_fp,bit_239
morgan_fp,bit_208
morgan_fp,bit_179
morgan_fp,bit_0
morgan_fp,bit_96
morgan_fp,bit_195
morgan_fp,bit_276
morgan_fp,bit_227
morgan_fp,bit_200
morgan_fp,bit_7
morgan_fp,bit_484
descriptor,631
descriptor,1742
descriptor,1480
descriptor,1659
descriptor,1639
descriptor,295
descriptor,1593
descriptor,493
descriptor,1361
descriptor,1399
descriptor,868
descriptor,1624
descriptor,1552
descriptor,1575
descriptor,1600
descriptor,1539
descriptor,1636
descriptor,1551
descriptor,1622
descriptor,282
descriptor,1550
descriptor,1537
descriptor,1602
descriptor,1632
descriptor,1663
descriptor,183
descriptor,1628
descriptor,1627
descriptor,1540
descriptor,1581
descriptor,1536
descriptor,1601
descriptor,162
descriptor,1559
descriptor,1629
descriptor,1591
descriptor,1557
descriptor,1604
descriptor,1554
descriptor,1592
descriptor,1561
descriptor,726
descriptor,1637
descriptor,744
descriptor,1558
descriptor,378
descriptor,1635
descriptor,1541
descriptor,1585
descriptor,1609
descriptor,1547
descriptor,1594
descriptor,1623
descriptor,1576
descriptor,1080
descriptor,1556
descriptor,1560
descriptor,1562
descriptor,1611
descriptor,79
descriptor,1634
descriptor,414
descriptor,1546
descriptor,1656
descriptor,1619
descriptor,1595
descriptor,463
descriptor,1625
descriptor,1555
descriptor,729
descriptor,179
descriptor,1682
descriptor,1599
descriptor,1610
descriptor,737
descriptor,1685
descriptor,1633
descriptor,305
descriptor,1621
descriptor,1596
descriptor,381
descriptor,1638
descriptor,1695
descriptor,227
descriptor,1335
descriptor,1626
descriptor,533
descriptor,507
descriptor,854
descriptor,1661
descriptor,182
descriptor,554
descriptor,545
descriptor,522
descriptor,1660
descriptor,1348
descriptor,380
descriptor,932
descriptor,1645
descriptor,813
descriptor,1213
descriptor,1582
descriptor,1583
descriptor,1242
descriptor,213
descriptor,1587
descriptor,100
descriptor,523
descriptor,1261
descriptor,675
descriptor,138
descriptor,1365
descriptor,598
descriptor,979
descriptor,1643
descriptor,329
descriptor,1052
descriptor,471
descriptor,1312
descriptor,1032
descriptor,748
descriptor,1653
descriptor,755
descriptor,1590
descriptor,1618
descriptor,451
descriptor,924
descriptor,839
descriptor,505
descriptor,499
descriptor,466
descriptor,844
descriptor,367
descriptor,771
descriptor,1325
descriptor,403
descriptor,1238
descriptor,928
descriptor,177
descriptor,455
descriptor,1133
descriptor,1009
descriptor,1237
descriptor,1222
descriptor,492
descriptor,576
descriptor,386
descriptor,462
descriptor,1655
descriptor,206
descriptor,837
descriptor,1062
descriptor,1699
descriptor,1415
descriptor,908
descriptor,797
descriptor,516
descriptor,629
descriptor,1024
descriptor,759
descriptor,1615
descriptor,706
descriptor,1405
descriptor,461
descriptor,75
descriptor,1225
descriptor,1260
descriptor,975
descriptor,874
descriptor,165
descriptor,1689
descriptor,356
descriptor,38
descriptor,1243
descriptor,243
descriptor,440
descriptor,1451
descriptor,809
descriptor,88
descriptor,594
descriptor,1159
descriptor,517
descriptor,978
descriptor,358
descriptor,263
descriptor,428
descriptor,887
descriptor,622
descriptor,1095
descriptor,271
descriptor,618
descriptor,640
descriptor,86
descriptor,1586
descriptor,540
descriptor,635
descriptor,1179
descriptor,742
descriptor,320
descriptor,775
descriptor,104
descriptor,130
descriptor,1444
descriptor,563
descriptor,442
descriptor,973
descriptor,1128
descriptor,425
descriptor,816
descriptor,1466
descriptor,73
descriptor,942
descriptor,845
descriptor,1180
descriptor,551
descriptor,266
descriptor,369
descriptor,276
descriptor,210
descriptor,1161
descriptor,1226
descriptor,87
descriptor,843
descriptor,879
descriptor,1273
descriptor,607
descriptor,796
descriptor,128
descriptor,1038
descriptor,1432
descriptor,636
descriptor,1210
descriptor,387
descriptor,1605
descriptor,891
descriptor,1644
descriptor,893
descriptor,1247
descriptor,564
descriptor,217
descriptor,448
descriptor,1403
